,Owner Code,Note Changes,Extra Notes,Status,
135,Bamberg County,,,,TRUE
136,Bandera County,,,,TRUE
137,Bannock County,,,,TRUE
138,Barber County,,,,TRUE
139,Barnwell County,,,,TRUE
140,Bartholomew County Solid Waste Management District,,,,TRUE
141,Barton County,,,,TRUE
142,Bartow County,,,,TRUE
143,"Basin Disposal, Inc.",,,,TRUE
144,Bass River Township,,,,TRUE
145,Bastrop County,,,,TRUE
146,Bath County,,,,TRUE
147,Bavarian Trucking Company,,,,TRUE
148,Bay County Utility Services Department,,,,TRUE
149,Bayshore Recycling Corp.,,,,TRUE
150,Bear Lake County,,,,TRUE
151,Bear Valley Community Services District,,,,TRUE
152,Beaver County Special Service District #5,,,,TRUE
153,Beaverhead County,,,,TRUE
154,Becker County,,,,TRUE
155,Bedford County,,,,TRUE
156,Bedrock Industries,,,,TRUE
157,"Bee Garbage Transfer System, Inc",,,,TRUE
158,Bell County,,,,TRUE
159,Beltrami County,,,,TRUE
160,Benewah County,,,,TRUE
161,"Bennett Construction, Inc.",,,,TRUE
162,Benton County Executive Landfill Board,,,,TRUE
163,Berkeley County Water and Sanitation,,,,TRUE
164,"Berks Transfer, Inc.",,,,TRUE
165,Berky's Transfer Site Container Service,,,,TRUE
166,Bernalillo County,,,,TRUE
167,"Berryessa Garbage Service, Inc",,,,TRUE
168,Bert Adams Disposal,,,,TRUE
169,"Bertolotti Disposal, Inc",,,,FALSE
122,BEST,,,,FALSE
170,"Best Lawns, Inc.",,,,TRUE
171,"Bestway Recycling Co., Inc.","Get rid of the "","" , ""."", ""Co"", and get rid of ""Inc""",,Cleaned sucessfully,TRUE
172,Bestway Recycling Inc,,,Cleaned sucessfully,TRUE
173,Bethalto Waste Transfer Facility,,,,FALSE
176,Bibb County,,,,FALSE
174,Bi-County Disposal Inc,,,,TRUE
175,Bi-County Solid Waste System,,,,FALSE
177,Big Creek Township,,,,TRUE
178,Big Horn County Solid Waste Disposal District,,,,TRUE
179,Big Sky Environmental LLC,,,,TRUE
180,Bingham County,,,,TRUE
181,"Birmingham Recycling & Recovery LLC, USA",,,,TRUE
182,Black Hawk County Solid Waste Management,,,,TRUE
183,"Black Hawk Waste Disposal, Inc.",,,,TRUE
184,Black Warrior Solid Waste Authority,,,,TRUE
185,Bladen County,,,,TRUE
186,Blaine County,,,,TRUE
187,Blair County,,,,TRUE
188,Blanco County,,,,TRUE
189,Bland County,,,,FALSE
123,BLB Hauling,,,,FALSE
190,Bleckley County,,,,FALSE
124,BLHC,,,,FALSE
191,Blount County,,,,FALSE
125,BLT Enterprises,,,,FALSE
192,Blue Earth County,,,,TRUE
193,Bob Walker Hauling & Transfer,,,,TRUE
194,Bob's Sanitation Inc,,,,TRUE
195,Boise County,,,,TRUE
196,Bonner County,,,,TRUE
197,Bonneville County,,,,TRUE
198,Boone County,,,,TRUE
199,Boone County Resource Recovery Inc.,,,,TRUE
200,Boothbay Regional Refuse Disposal District,,,,TRUE
201,Borough of Bergenfield,,,,TRUE
202,Borough of Bernardsville,,,,TRUE
203,Borough of Creskill,,,,TRUE
204,Borough of Dunellen,,,,TRUE
205,Borough of Hanover,,,,TRUE
206,Borough of Kodiak Island,,,,TRUE
207,Borough of Naugatuck,,,,TRUE
208,Borough of Ramsey,,,,TRUE
209,Borough of Tenafly,,,,TRUE
210,Borough of Westwood,,,,TRUE
211,Botetourt County,,,,TRUE
212,Botgge,,,,TRUE
213,Boulder County,,,,TRUE
214,Boulder County Land Use Department,,,,TRUE
215,Boundary County,,,,TRUE
216,Bourbon County,,,,TRUE
217,Box Elder County,,,,TRUE
218,Boyd E. Diller Inc.,,,,TRUE
219,"Boyd Roll-Off Services, Inc.",,,,TRUE
220,Boyne Valley Township,,,,FALSE
121,"B-P Trucking, Inc.",,,,FALSE
221,Bradley County,,,,TRUE
222,Bradley's TS,,,,TRUE
223,Brandywine Enterprises Inc,,,,TRUE
224,Brandywine Recyclers,,,,TRUE
225,Brantley County,,,,TRUE
226,"Brazostort Environment & Recycling Services, Inc. (BEARS)",,,,TRUE
227,Breathitt County,,,,TRUE
228,Bremer County,,,,TRUE
229,Brevard County,,,,TRUE
230,Bristol Bay Borough,,,,TRUE
231,Broad Canyon Landfill,,,,TRUE
232,Broad Run Recycling Inc.,,,,TRUE
233,Broadwater County,,,,TRUE
234,"Bronx City Recycling, Inc.",,,,TRUE
235,Bronx River Haulage,,,,TRUE
236,Brooke County,,,,TRUE
237,Broome County,,,,TRUE
238,Broome Recycling Co Inc,,,,TRUE
239,Broward County,,,,TRUE
240,Brown County,,,,TRUE
241,Brown Enterprises,,,,TRUE
242,Brunswick County,,,,TRUE
243,Bryan County,,,,TRUE
244,Buchanan County,,,,TRUE
245,Buckingham Recycles,,,,TRUE
246,Buds Sanitation,,,,TRUE
247,Bueckers Sanitation,,,,TRUE
248,Buena Vista County,,,,TRUE
249,Buffalo-Johnson Co. Joint Powers Board,,,,TRUE
250,Buncombe County,,,,TRUE
251,Burke County,,,,TRUE
252,Burlington County,,,,FALSE
126,BURR,,,,FALSE
253,Butler County,,,,TRUE
254,Butte County,,,,FALSE
127,"BVSWMA, Inc.",,,,FALSE
255,C & B Sanitary Service,,,,TRUE
256,"C & O Recycling Enterprises, Inc.",,,,TRUE
257,C & S Waste Solutions,Get rid of spaces in between,,Cleaned sucessfully,TRUE
258,C&S Waste Solutions,Get rid of spaces in between,,,TRUE
259,C. J. Mabardy Inc.,,,,TRUE
260,C.M. Whitcher Disposal,,,,FALSE
271,Cabarrus County,,,,TRUE
272,Caddo County,,,,TRUE
273,Cal Farley's Boys Ranch,,,,TRUE
274,"Calamari Recycling Co., Inc.",,,,TRUE
275,Calaveras County Department of Public Works,,,,TRUE
276,Calhoun County,,,,TRUE
277,California Department of Corrections,,,,TRUE
278,California Waste Services LLC (CWS),,,,TRUE
279,Callanan Industries,,,,FALSE
261,CALMT,,,,FALSE
280,Calvert County,,,,TRUE
281,Camden County,,,,TRUE
282,Camden County Pollution Control Financing Authority,,,,TRUE
283,Campbell County,,,,TRUE
284,Canadian Pacific Railway,,,,TRUE
285,Candler County,,,,TRUE
286,Canyon County,,,,TRUE
287,Canyonlands Community Recycling,,,,TRUE
288,Cape May County Municipal Utilities Authority,,,,TRUE
289,Cape Sand and Recycling LLC,,,,TRUE
290,Capitol Recycling of Connecticut,,,,FALSE
262,CARAU,,,,FALSE
291,Carbon County,,,,TRUE
292,Cardella Waste,,,,TRUE
293,Cardinal Sanitation,,,,TRUE
294,Caribou County,,,,TRUE
295,Carlton County,,,,TRUE
296,"Carmen Barbato, Inc.",,,,TRUE
297,Carroll County,,,,TRUE
298,Carroll County Solid Waste Authority,,,,TRUE
299,Carter County,,,,TRUE
300,Cascade County,,,,TRUE
301,Cascades Recovery Inc.,,,,TRUE
302,Casey Truck Equipment,,,,TRUE
303,Cass County,,,,TRUE
304,Cass County Environmental Control Agency,,,,TRUE
305,Cassia County,,,,TRUE
306,Catawba County,,,,TRUE
307,Catron County,,,,TRUE
308,Cattaraugus County,,,,TRUE
309,Cavalier Environmental Compliance Services (CECS),,,,TRUE
310,Cecil County,,,,TRUE
311,Cedar Avenue Recycling & Transfer Station (CARTS),,,,TRUE
312,Cedar County Solid Waste Commission,,,,TRUE
313,Cedar Creek Township,,,,TRUE
314,Cedar Rapids Linn County Solid Waste Agency,,,,TRUE
315,Central Disposal LLC,,,,TRUE
316,"Central Disposal, LLC","Get rid of "",""",,,TRUE
317,Central Iowa Solid Waste Management Association,,,,TRUE
318,Central Weston County SWDD,,,,TRUE
319,Centre County Solid Waste Authority,,,,FALSE
263,"CGS Services, Inc.",,,,FALSE
320,Chaffee County,,,,TRUE
321,Chambers County,,,,TRUE
322,Chambers Paper Fibers Corporation,,,,TRUE
323,Charles Chrin Companies,,,,TRUE
324,Charles County,,,,TRUE
325,Charleston County,,,,TRUE
326,Charlotte County,,,,TRUE
327,Chatham County,,,,TRUE
328,Chattooga County,,,,TRUE
329,Chautauqua County,,,,TRUE
330,Cheatham County,,,,TRUE
331,Chelan County,,,,TRUE
332,Chemung County Solid Waste Disposal District (CCSWDD),,,,TRUE
333,Chenango County,,,,TRUE
334,Cherokee County,,,,TRUE
335,Cherokee County Solid Waste Commission,,,,TRUE
336,Cherokee Nation of Oklahoma,,,,TRUE
337,Chester County,,,,TRUE
338,Chester County Solid Waste Authority,,,,TRUE
339,Chesterfield County,,,,TRUE
340,Chestnuthill Township,,,,TRUE
341,Cheyenne County,,,,TRUE
342,"Chicago Grade Landfill, Inc.",,,,TRUE
343,Chicot County,,,,TRUE
344,Chippewa County,,,,TRUE
345,Chittenden Solid Waste District,,,,TRUE
346,Choctaw County,,,,TRUE
347,Cibola County,,,,TRUE
348,"Citistics, Inc.",,,,TRUE
349,Citrus County,,,,TRUE
350,City & Borough of Sitka,,,,TRUE
351,City & County of Denver,,,,TRUE
352,City & County of Honolulu,,,,TRUE
353,City Fibers Corporation,,,,TRUE
354,City Garbage Services,,,,FALSE
356,City of Abbotsford,,,,TRUE
357,City of Ada,,,,TRUE
358,City of Alamogordo,,,,TRUE
359,City of Albany,,,,TRUE
360,City of Albemarle,,,,TRUE
361,City of Albuquerque,,,,TRUE
362,City of Alcoa,,,,TRUE
363,City of Alice,,,,TRUE
364,City of Alliance,,,,TRUE
365,City of Alpine,,,,TRUE
366,City of Altus,,,,TRUE
367,City of Alva,,,,TRUE
368,City of Amarillo,,,,TRUE
369,City of Andrews,,,,TRUE
370,City of Ann Arbor,,,,TRUE
371,City of Arcadia,,,,TRUE
372,City of Arkadelphia,,,,TRUE
373,City of Artesia,,,,TRUE
374,City of Asheboro,,,,TRUE
375,City of Astoria,,,,TRUE
376,City of Atoka,,,,TRUE
377,City of Auburn,,,,TRUE
378,City of Augusta,,,,TRUE
379,City of Austin,,,,TRUE
380,City of Baggs,,,,TRUE
381,City of Bainbridge Island,,,,TRUE
382,City of Baltimore,,,,TRUE
383,City of Barre,,,,TRUE
384,City of Bath,,,,TRUE
385,City of Baton Rouge / Parish of East Baton Rouge,,,,TRUE
386,City of Baytown,,,,TRUE
387,City of Beach,,,,TRUE
388,City of Beacon,,,,TRUE
389,City of Beatrice,,,,TRUE
390,City of Beaumont,,,,TRUE
391,City of Bedford,,,,TRUE
392,City of Belen,,,,TRUE
393,City of Belfast,,,,TRUE
394,City of Belle Fourche,,,,TRUE
395,City of Berea,,,,TRUE
396,City of Berkeley,,,,TRUE
397,City of Bethel,,,,TRUE
398,City of Beulah,,,,TRUE
399,City of Big Lake,,,,TRUE
400,City of Big Spring,,,,TRUE
401,City of Billings,,,,TRUE
402,City of Binghamton,,,,TRUE
403,City of Birmingham,,,,TRUE
404,City of Bismarck,,,,TRUE
405,City of Bloomington,,,,TRUE
406,City of Bonduel,,,,TRUE
407,City of Booker,,,,TRUE
408,City of Borger,,,,TRUE
409,City of Boscobel,,,,TRUE
410,City of Bossier City,,,,TRUE
411,City of Boulder City,,,,TRUE
412,City of Bountiful,,,,TRUE
413,City of Brackettville,,,,TRUE
414,City of Brady,,,,TRUE
415,City of Brenham,,,,TRUE
416,City of Brentwood,,,,TRUE
417,City of Bridgeport,,,,TRUE
418,City of Bristol,,,,TRUE
419,City of Broadalbin,,,,TRUE
420,City of Broken Bow,,,,TRUE
421,City of Brookhaven,,,,TRUE
422,City of Brookings,,,,TRUE
423,City of Brownfield,,,,TRUE
424,City of Brownsville,,,,TRUE
425,City of Brownwood,,,,TRUE
426,City of Buckhannon,,,,TRUE
427,City of Buffalo,,,,TRUE
428,City of Burbank,,,,TRUE
429,City of Burkburnett,,,,TRUE
430,City of Burleson,,,,TRUE
431,City of Burlington,,,,TRUE
432,City of Cactus,,,,TRUE
433,City of Cairo,,,,TRUE
434,City of Calais,,,,TRUE
435,City of California City,,,,TRUE
436,City of Camden,,,,TRUE
437,City of Canadian,,,,TRUE
438,City of Canton,,,,TRUE
439,City of Cape Girardeau,,,,TRUE
440,City of Carrizo Springs,,,,TRUE
441,City of Carrollton,,,,TRUE
442,City of Carson City,,,,TRUE
443,City of Carthage,,,,TRUE
444,City of Casa Grande,,,,TRUE
445,City of Casper,,,,TRUE
446,City of Cavalier,,,,TRUE
447,City of Cedar Falls,,,,TRUE
448,City of Chadron,,,,TRUE
449,City of Chanute,,,,TRUE
450,City of Charleston,,,,TRUE
451,City of Chattanooga,,,,TRUE
452,City of Checotah,,,,TRUE
453,City of Chelan,,,,TRUE
454,City of Chelsea,,,,TRUE
455,City of Chesapeake,,,,TRUE
456,City of Chicago,,,,TRUE
457,City of Childress,,,,TRUE
458,City of Claremont,,,,TRUE
459,City of Clearwater,,,,TRUE
460,City of Cleburne,,,,TRUE
461,City of Cleveland,,,,TRUE
462,City of Cleveland Heights,,,,TRUE
463,City of Clinton,,,,TRUE
464,City of Clovis,,,,TRUE
465,City of Coldwater,,,,TRUE
466,City of Collierville,,,,TRUE
467,City of Colorado City,,,,TRUE
468,City of Columbia,,,,TRUE
469,City of Columbus,,,,TRUE
470,City of Concord,,,,TRUE
471,City of Condon,,,,TRUE
472,City of Conway,,,,TRUE
473,City of Copperas Cove,,,,TRUE
474,City of Coral Springs,,,,TRUE
475,City of Corbin,,,,TRUE
476,City of Cordova,,,,TRUE
477,City of Corpus Christi,,,,TRUE
478,City of Corsicana,,,,TRUE
479,City of Cottonwood,,,,TRUE
480,City of Cotulla,,,,TRUE
481,City of Council Bluffs,,,,TRUE
482,City of Covington,,,,TRUE
483,City of Crane,,,,TRUE
484,City of Crete,,,,TRUE
485,City of Crockett,,,,TRUE
486,City of Crowell/Foard County,,,,TRUE
487,City of Crystal City,,,,TRUE
488,City of Cudahy,,,,TRUE
489,City of Culver City,,,,TRUE
490,City of Dalhart,,,,TRUE
491,City of Dallas,,,,TRUE
492,City of Danvers,,,,TRUE
493,City of Dayton,,,,TRUE
494,City of De Kalb,,,,TRUE
495,City of Dearborn,,,,TRUE
496,City of Decatur,,,,TRUE
497,City of Deer Park,,,,TRUE
498,City of Deerfield Beach,,,,TRUE
499,City of Del Rio,,,,TRUE
500,City of Deming,,,,TRUE
501,City of Denton,,,,TRUE
502,City of Detroit,,,,TRUE
503,City of Devil's Lake,,,,TRUE
504,City of Dewitt,,,,TRUE
505,City of Dickinson,,,,TRUE
506,City of Dillingham,,,,TRUE
507,City of Dimmitt,,,,TRUE
508,City of Douglas,,,,TRUE
509,City of Dumas,,,,TRUE
510,City of Durant,,,,TRUE
511,City of Durham,,,,TRUE
512,City of Dyersberg,,,,TRUE
513,City of Eagle Pass,,,,TRUE
514,City of East Jordan,,,,TRUE
515,City of Eden,,,,TRUE
516,City of Edgewater,,,,TRUE
517,City of Edinburg,,,,TRUE
518,City of El Campo,,,,TRUE
519,City of El Cerrito,,,,TRUE
520,City of El Dorado,,,,TRUE
521,City of El Paso,,,,TRUE
522,City of Elgin,,,,TRUE
523,City of Elk City,,,,TRUE
524,City of Elk Point,,,,TRUE
525,City of Elko,,,,TRUE
526,City of Ellendale,,,,TRUE
527,City of Eloy,,,,TRUE
528,City of Ely,,,,TRUE
529,City of Emporia,,,,TRUE
530,City of Englewood,,,,TRUE
531,City of Enid,,,,TRUE
532,City of Enterprise,,,,TRUE
533,City of Eufaula,,,,TRUE
534,City of Fairbury,,,,TRUE
535,City of Fairhope,,,,TRUE
536,City of Fall River,,,,TRUE
537,City of Fallon,,,,TRUE
538,City of Fargo,,,,TRUE
539,City of Farmers Branch,,,,TRUE
540,City of Farmington,,,,TRUE
541,City of Fayetteville,,,,TRUE
542,City of Fergus Falls,,,,TRUE
543,City of Fillmore,,,,TRUE
544,City of Fitzgerald,,,,TRUE
545,City of Flagstaff,,,,TRUE
546,City of Florence,,,,TRUE
547,City of Floydada,,,,TRUE
548,City of Folsom,,,,TRUE
549,City of Fort Smith,,,,TRUE
550,City of Fort Stockton,,,,TRUE
551,City of Fort Wayne,,,,TRUE
552,City of Fort Worth,,,,TRUE
553,City of Fox Lake,,,,TRUE
554,City of Franklin,,,,TRUE
555,City of Fredericksburg,,,,TRUE
556,City of Fredericktown,,,,TRUE
557,City of Freeport,,,,TRUE
558,City of Fremont,,,,TRUE
559,City of Gadsden,,,,TRUE
560,City of Gainesville,,,,TRUE
561,City of Gardner,,,,TRUE
562,City of Garland,,,,TRUE
563,City of Gatlinburg,,,,TRUE
564,City of Geneva,,,,TRUE
565,City of Gering,,,,TRUE
566,City of Glasgow,,,,TRUE
567,City of Glendale,,,,TRUE
568,City of Glendive,,,,TRUE
569,City of Glenrock,,,,TRUE
570,City of Glenwood Springs,,,,TRUE
571,City of Gloversville,,,,TRUE
572,City of Goldsboro,,,,TRUE
573,City of Goodlettsville,,,,TRUE
574,City of Grand Coulee,,,,TRUE
575,City of Grand Forks,,,,TRUE
576,City of Grand Island,,,,TRUE
577,City of Grand Prairie,,,,TRUE
578,City of Great Falls,,,,TRUE
579,City of Green River,,,,TRUE
580,City of Greensboro,,,,TRUE
581,City of Greenville,,,,TRUE
582,City of Greer,,,,TRUE
583,City of Griffin,,,,TRUE
584,City of Guthrie,,,,TRUE
585,City of Guymon,,,,TRUE
586,City of Haines,,,,TRUE
587,City of Hallettsville,,,,TRUE
588,City of Hamden,,,,TRUE
589,City of Hamilton,,,,TRUE
590,City of Hardin,,,,TRUE
591,City of Harlingen,,,,TRUE
592,City of Hartington,,,,TRUE
593,City of Hartselle,,,,TRUE
594,City of Harvey,,,,TRUE
595,City of Haskell,,,,TRUE
596,City of Hastings,,,,TRUE
597,City of Hawthorne,,,,TRUE
598,City of Hazard,,,,TRUE
599,City of Helena,,,,TRUE
600,City of Henderson,,,,TRUE
601,City of Henryetta,,,,TRUE
602,City of Hereford,,,,TRUE
603,City of Hickory,,,,TRUE
604,City of High Point,,,,TRUE
605,City of Hillsdale,,,,TRUE
606,City of Hohenwald,,,,TRUE
607,City of Holdrege,,,,TRUE
608,City of Hope,,,,TRUE
609,City of Hot Springs,,,,TRUE
610,City of Houston,,,,TRUE
611,City of Huntington,,,,TRUE
612,City of Huntsville,,,,TRUE
613,City of Huron,,,,TRUE
614,City of Iowa City,,,,TRUE
615,City of Irving,,,,TRUE
616,City of Jackson,,,,TRUE
617,City of Jacksonville,,,,TRUE
618,City of Jamestown,,,,TRUE
619,City of Janesville,,,,TRUE
620,City of Jasper,,,,TRUE
621,City of Johnson City,,,,TRUE
622,City of Johnstown,,,,TRUE
623,City of Junction,,,,TRUE
624,City of Justin,,,,TRUE
625,City of Kadoka,,,,TRUE
626,City of Kearney,,,,TRUE
627,City of Keene,,,,TRUE
628,City of Kendallville,,,,TRUE
629,City of Kenosha,,,,TRUE
630,City of Kerrville,,,,TRUE
631,City of Ketchikan,,,,TRUE
632,City of Kewanee,,,,TRUE
633,City of Key West,,,,TRUE
634,City of Kill Devil Hills,,,,TRUE
635,City of Killeen,,,,TRUE
636,City of Kimball,,,,TRUE
637,City of Kingston,,,,TRUE
638,City of Kingsville,,,,TRUE
639,City of Kingwood,,,,TRUE
640,City of Knoxville,,,,TRUE
641,City of La Cygne,,,,TRUE
642,City of La Grange,,,,TRUE
643,City of LaBarge,,,,TRUE
644,City of Laconia,,,,TRUE
645,City of Lake Forest,,,,TRUE
646,City of Lake Havasu,,,,TRUE
647,City of Lamar,,,,TRUE
648,City of Lamesa,,,,TRUE
649,City of Lancaster,,,,TRUE
650,City of Langdon,,,,TRUE
651,City of Lansing Board of Water & Light,,,,TRUE
652,City of Laramie,,,,TRUE
653,City of Laredo,,,,TRUE
654,City of Latrobe,,,,TRUE
655,City of Lawrenceburg,,,,TRUE
656,City of Lawton,,,,TRUE
657,City of Lebanon,,,,TRUE
658,City of Lee's Summit,,,,TRUE
659,City of Leitchfield,,,,TRUE
660,City of Lemmon,,,,TRUE
661,City of Lenexa,,,,TRUE
662,City of Lewiston,,,,TRUE
663,City of Lincoln,,,,TRUE
664,City of Little Rock,,,,TRUE
665,City of Littlefield,,,,TRUE
666,City of Livonia,,,,TRUE
667,City of Llano,,,,TRUE
668,City of Logan,,,,TRUE
669,City of Lompoc,,,,TRUE
670,City of Long Creek,,,,TRUE
671,City of Los Angeles,,,,TRUE
672,City of Los Angeles - Bureau of Sanitation,,,,TRUE
673,City of Louisville,,Assume not to be the same,,TRUE
674,City of Louisville Metro Government,,Assume not to be the same,,TRUE
675,City of Lovington,,,,TRUE
676,City of Lubbock,,,,TRUE
677,City of Mackinac Island,,,,TRUE
678,City of Madison,,,,TRUE
679,City of Madisonville,,,,TRUE
680,City of Manchester,,,,TRUE
681,City of Mandan,,,,TRUE
682,City of Mansfield,,,,TRUE
683,City of Marietta,,,,TRUE
684,City of Markesan,,,,TRUE
685,City of Marlborough,,,,TRUE
686,City of Marmet,,,,TRUE
687,City of Marshall,,,,TRUE
688,City of Martinsville,,,,TRUE
689,City of Maryville,,,,TRUE
690,City of Matador,,,,TRUE
691,City of Maumelle,,,,TRUE
692,City of Mayville,,,,TRUE
693,City of McAlester,,,,TRUE
694,City of McAllen,,,,TRUE
695,City of McCook,,,,TRUE
696,City of McGrath,,,,TRUE
697,City of McLean,,,,TRUE
698,City of McMinnville,,,,TRUE
699,City of Meadow,,,,TRUE
700,City of Mekoryuk,,,,TRUE
701,City of Memphis,,,,TRUE
702,City of Menard,,,,TRUE
703,City of Meriden,,,,TRUE
704,City of Mesquite,,,,TRUE
705,City of Miami,,,,TRUE
706,City of Middletown,,,,TRUE
707,City of Midland,,,,TRUE
708,City of Midwest City,,,,TRUE
709,City of Milnor,,,,TRUE
710,City of Milton-Freewater,,,,TRUE
711,City of Milwaukee,,,,TRUE
712,City of Mineral Wells,,,,TRUE
713,City of Minneapolis,,,,TRUE
714,City of Minot,,,,TRUE
715,City of Mitchell,,,,TRUE
716,City of Moberly,,,,TRUE
717,City of Mobile,,,,TRUE
718,City of Mohall,,,,TRUE
719,City of Monahans,,,,TRUE
720,City of Monmouth,,,,TRUE
721,City of Montgomery,,,,TRUE
722,City of Monticello,,,,TRUE
723,City of Monument,,,,TRUE
724,City of Moorhead,,,,TRUE
725,City of Morrilton,,,,TRUE
726,City of Morristown / Hamblen County,,,,TRUE
727,City of Morton,,,,TRUE
728,City of Muleshoe,,,,TRUE
729,City of Murray,,,,TRUE
