,Operator Code,Note Changes,Extra Notes,Status
236,Borough of Hanover,,,
237,Borough of Kodiak Island,,,
238,Borough of Lewistown,,,
239,Borough of Naugatuck,,,
240,Borough of North Slope,,,
241,Borough of Tenafly,,,
223,Bo's Rolloff Service,,,
242,Boston Mountain Solid Waste District,,,
243,Botetourt County,,,
244,Botgge,,,
245,Boulder City Disposal Inc.,,,
246,Boulder County Land Use Department,,,
247,Boundary County,,,
248,Bourbon County,,,
249,Bowling Green Recycling Center,,,
250,Box Elder County,,,
251,Boxx Sanitation,,,
252,Boyd E. Diller Inc.,,,
253,"Boyd Roll-Off Services, Inc.",,,
254,Boyne Valley Township,,,
138,"B-P Trucking, Inc.",,,
255,Bradford Transfer Station,,,
256,Bradley's TS,,,
257,Brandywine Enterprises Inc,,,
258,Brantley County,,,
259,Bratenahl Village,,,
260,Brauns Waste Management,,,
261,"Brazostort Environment & Recycling Services, Inc. (BEARS)",,,
262,Bremer County,,,
263,Brevard County,,,
264,Bristol Bay Borough,,,
265,Broad Canyon Landfill,,,
266,Broad Run Recycling Inc.,,,
267,Broadwater County,,,
268,"Bronx City Recycling, Inc.",,,
269,Bronx River Haulage,,,
270,"Brookfield Resource Management, Inc.",,,
271,Broome County,,,
272,Broome Recycling Co Inc,,,
273,Broward County,,,
274,"Broward County, Waste & Recycling Services",,,
275,Brown County,,,
276,Brown County Solid Waste Authority,,,
277,Brown Enterprises,,,
278,Brunswick County,,,
279,"Buckeye Sanitation, Inc.",,,
280,Buckingham Recycles,,,
281,Buds Sanitation,,,
282,Bueckers Sanitation,,,
283,Buena Vista County,,,
284,Bulldog Systems Inc.,,,
285,Buncombe County,,,
286,Bunn Box Inc.,,,
287,"Burbank Recycling, Inc.",,,
288,Burke County,,,
289,Burlington County,,,
290,"Burney Disposal, Inc.",,,
141,BURR,,,
291,Butler County,,,
292,Butler County Solid Waste Commission,,,
293,Butte County,,,
142,"BVSWMA, Inc.",,,
294,C & B Sanitary Service,,,
295,"C & D Recovery, LLC",,,
296,"C & O Recycling Enterprises, Inc.",,,
297,C & S Waste Solutions,Spacing issue,,Fixed
298,C&C Sanitation,,,
299,C&S Waste Solutions,,,
300,C. J. Mabardy Inc.,,,
301,C.D. Man LLC,,,
314,Cabarrus County,,,
315,Cal Farley's Boys Ranch,,,
318,"Calamari Recycling Co., Inc.",,,
319,Calaveras County Department of Public Works,,,
320,Calhoun County,,,
321,California Waste Services LLC (CWS),,,
322,California Waste Solutions,,,
323,Callanan Industries,,,
302,CALMT,,,
316,Cal-Sierra Machine,,,
324,Calvert County,,,
325,Calvert's Roll-Off Containers,,,
317,Cal-Waste Recovery Systems,,,
326,Camden County,,,
327,Camden County Pollution Control Financing Authority,,,
328,Campbell County,,,
329,"Canby Transfer & Recycling, Inc.",,,
330,Candler County,,,
331,"Canon Virginia, Inc.",,,
332,Canyon County,,,
333,Canyonlands Community Recycling,,,
334,Cape May County Municipal Utilities Authority,,,
335,Cape Sand and Recycling LLC,,,
336,Capital Paper Recycling,,,
337,Capital Region Solid Waste Management Partnership,,,
338,Capitol Fibers Inc.,,,
339,Capitol Recycling of Connecticut,,,
303,CARAU,,,
340,Carbon County,,,
341,Cardella Waste,,,
342,Cardinal Disposal,,,
343,Cardinal Sanitation,,,
344,Caribou County,,,
345,Carlton County,,,
346,"Carmen Barbato, Inc.",,,
347,Carroll County,,,
348,Carroll County Solid Waste Authority,,,
349,"Carter's Royal Dispos-all, Inc.",,,
304,CART'M Recycling,,,
350,Carver-Marion-Wareham District,,,
351,Cascades Recovery Inc.,,,
352,Casey Truck Equipment,,,
353,Cass County,,,
354,Cass County Environmental Control Agency,,,
355,Catawba County,,,
356,Catron County,,,
357,Cattaraugus County,,,
358,Cavalier Environmental Compliance Services (CECS),,,
305,CD Man LLC,,,
359,Cecil County,,,
360,Cedar County Solid Waste Commission,,,
361,Cedar Creek Township,,,
362,Cedar Rapids Linn County Solid Waste Agency,,,
363,Central Disposal LLC,,,Fixed
364,"Central Disposal, LLC","Get rid of "",""",,
365,"Central Ohio Contractors, Inc.",,,
366,"Central Recycling & Transfer, LLC",,,
367,Central Weston County SWDD,,,
368,Centre County Solid Waste Authority,,,
306,"CES, LLC",,,
307,"CGS Services, Inc.",,,
369,Chaffee County,,,
370,Chambers County,,,
371,Chambers Paper Fibres Corporation,,,
372,Charles Chrin Companies,,,
373,Charles County,,,
374,Charleston County,,,
375,Charlotte County,,,
376,Chase n Green Recycling,,,
377,Chatham County,,,
378,Chattooga County,,,
379,Chautauqua County,,,
380,Cheatham County,,,
381,Chelan County,,,
382,Chemtech of Richmond,,,
383,Chenango County,,,
384,Cherokee County,,,
385,Cherokee County Solid Waste Commission,,,
386,Cherokee Nation of Oklahoma,,,
387,Chester County,,,
388,Chester County Solid Waste Authority,,,
389,Chesterfield County,,,
390,Cheyenne County,,,
391,Cheyenne River Sioux Tribe,,,
392,"Chicago Grade Landfill, Inc.",,,
393,Chicot County,,,
394,Chittenden Solid Waste District,,,
395,Circleville Town Landfill,,,
396,"Ciro Associates, LLC",,,
397,Citrus County,,,
398,City & Borough of Sitka,,,
399,City & County of Honolulu,,,
400,"City Carting & Recycling, Inc.",,,
401,City Fibers Corporation,,,
402,City Fibers Inc,,,
403,City Garbage Services,,,
406,City of Abbotsford,,,
407,City of Aberdeen,,,
408,City of Ada,,,
409,City of Alamogordo,,,
410,City of Albemarle,,,
411,City of Albuquerque,,Probably separate entities,
412,City of Albuquerque IPF,,,
413,City of Alcoa,,,
414,City of Alice,,,
415,City of Alliance,,,
416,City of Altus,,,
417,City of Alva,,,
418,City of Amarillo,,,
419,City of Andrews,,,
420,City of Arcadia,,,
421,City of Arkadelphia,,,
422,City of Artesia,,,
423,City of Asheboro,,,
424,City of Atoka,,,
425,City of Atqasuk,,,
426,City of Auburn,,,
427,City of Augusta,,,
428,City of Austin,,,
429,City of Baggs,,,
430,City of Baltimore,,,
431,City of Bartlett,,,
432,City of Bath,,,
433,City of Baytown,,,
434,City of Beach,,,
435,City of Beatrice,,,
436,City of Beaumont,,,
437,City of Bedford,,,
438,City of Belfast,,,
439,City of Beloit,,,
440,City of Bennettsville,,,
441,City of Berkeley,,,
442,City of Bethel,,,
443,City of Beulah,,,
444,City of Big Lake,,,
445,City of Big Spring,,,
446,City of Big Timber,,,
447,City of Billings,,,
448,City of Binghamton,,,
449,City of Birmingham,,,
450,City of Bismarck,,,
451,City of Bloomington,,,
452,City of Bonduel,,,
453,City of Booker,,,
454,City of Borger,,,
455,City of Boscobel,,,
456,City of Bossier City,,,
457,City of Bottineau,,,
458,City of Bountiful,,,
459,City of Brackettville,,,
460,City of Brady,,,
461,City of Brenham,,,
462,City of Brentwood,,,
463,City of Bridgeport,,,
464,City of Bristol,,,
465,City of Broken Arrow,,,
466,City of Broken Bow,,,
467,City of Brookings,,,
468,City of Brownfield,,,
469,City of Brownsville,,,
470,City of Brownwood,,,
471,City of Buckhannon,,,
472,City of Burbank,,,
473,City of Burkburnett,,,
474,City of Burleson,,,
475,City of Cactus,,,
476,City of Cairo,,,
477,City of Calais,,,
478,City of Camden,,,
479,City of Canadian,,,
480,City of Canton,,,
481,City of Cape Girardeau,,,
482,City of Carrizo Springs,,,
483,City of Carrollton,,,
484,City of Carson City,,,
485,City of Carthage,,,
486,City of Casa Grande,,,
487,City of Casper,,,
488,City of Cedar Falls,,,
489,City of Centralia,,,
490,City of Chandler,,,
491,City of Chanute,,,
492,City of Chattanooga,,,
493,City of Checotah,,,
494,City of Chelan,,,
495,City of Chelsea,,,
496,City of Chesapeake,,,
497,City of Childress,,,
498,City of Choteau,,,
499,City of Claremont,,,
500,City of Clarendon Transfer Station,,,
501,City of Clarksdale,,,
502,City of Clearwater,,,
503,City of Cleburne,,,
504,City of Cleveland,,,
505,City of Cleveland Heights,,,
506,City of Clinton,,,
507,City of Clovis,,,
508,City of Cody,,,
509,City of Collegedale,,,
510,City of Colorado City,,,
511,City of Columbia,,,
512,City of Columbus,,,
513,City of Condon,,,
514,City of Connersville,,,
515,City of Conway,,,
516,City of Copperas Cove,,,
517,City of Coral Springs,,,
518,City of Corbin,,,
519,City of Cordova,,,
520,City of Corpus Christi,,,
521,City of Corsicana,,,
522,City of Cotulla,,,
523,City of Council Bluffs,,,
524,City of Covington,,,
525,City of Crane,,,
526,City of Crete,,,
527,City of Crockett,,,
528,City of Crowell/Foard County,,,
529,City of Crystal City,,,
530,City of Cudahy,,,
531,City of Culver City,,,
532,City of Dalhart,,,
533,City of Dallas,,,
534,City of Dayton,,,
535,City of Dearborn,,,
536,City of Decatur,,,
537,City of Deer Park,,,
538,City of Deerfield Beach,,,
539,City of Deming,,,
540,"City of Denton, Texas",,,
541,City of Detroit,,,
542,City of Devil's Lake,,,
543,City of Dewitt,,,
544,City of Dickinson,,,
545,City of Dillingham,,,
546,City of Dimmitt,,,
547,City of Douglas,,,
548,City of Dumas,,,
549,City of Durant,,,
550,City of Durham,,,
551,City of Dyersberg,,,
552,City of Eagle Pass,,,
553,City of Eden,,,
554,City of Edgewater,,,
555,City of Edinburg,,,
556,City of El Cerrito,,,
557,City of El Dorado,,,
558,City of El Paso,,,
559,City of Elgin,,,
560,City of Elk City,,,
561,City of Elk Grove,,,
562,City of Elk Point,,,
563,City of Elko,,,
564,City of Ellendale,,,
565,City of Ellsworth,,,
566,City of Eloy,,,
567,City of Ely,,,
568,City of Englewood,,,
569,City of Enid,,,
570,City of Enterprise,,,
571,City of Eufaula,,,
572,City of Fairbury,,,
573,City of Fairhope,,,
574,City of Fall River,,,
575,City of Fallon,,,
576,City of Fargo,,,
577,City of Farmington,,,
578,City of Fayetteville,,,
579,City of Fergus Falls,,,
580,City of Flagstaff,,,
581,City of Florence,,,
582,City of Floydada,,,
583,City of Folsom,,,
584,City of Fort Smith,,,
585,City of Fort Stockton,,,
586,City of Fox Lake,,,
587,City of Franklin,,,
588,City of Fredericksburg,,,
589,City of Fredericktown,,,
590,City of Gadsden,,,
591,City of Gainesville,,,
592,City of Gardner,,,
593,City of Garland,,,
594,City of Geneva,,,
595,City of Gering,,,
596,City of Glasgow,,,
597,City of Glendale,,,
598,City of Glendive,,,
599,City of Glenrock,,,
600,City of Glenwood Springs,,,
601,City of Goldsboro,,,
602,City of Gonzales,,,
603,City of Goodlettsville,,,
604,City of Grand Forks,,,
605,City of Grand Island,,,
606,City of Grand Prairie,,,
607,City of Great Falls,,,
608,City of Green River,,,
609,City of Greensboro,,,
610,City of Greenville,,,
611,City of Griffin,,,
612,City of Guthrie,,,
613,City of Guymon,,,
614,City of Haines,,,
615,City of Hallettsville,,,
616,City of Hamden,,,
617,City of Hardin,,,
618,City of Harlingen,,,
619,City of Harlowton,,,
620,City of Harrisonburg,,,
621,City of Hartington,,,
622,City of Hartselle,,,
623,City of Harvey,,,
624,City of Haskell,,,
625,City of Hastings,,,
626,City of Hawthorne,,,
627,City of Hazard,,,
628,City of Helena,,,
629,City of Henderson,,,
630,City of Henryetta,,,
631,City of Hereford,,,
632,City of Hickory,,,
633,City of High Point,,,
634,City of Hohenwald,,,
635,City of Holdrege,,,
636,City of Hope,,,
637,City of Hot Springs,,,
638,City of Houston,,,
639,City of Huntington,,,
640,City of Huntsville,,,
641,City of Huron,,,
642,City of Imperial,,,
643,City of Iowa City,,,
644,City of Irving,,,
645,City of Jamestown,,,
646,City of Janesville,,,
647,City of Jasper,,,
648,City of Junction,,,
649,City of Kadoka,,,
650,City of Kearney,,,
651,City of Keene,,,
652,City of Kendallville,,,
653,City of Kenosha,,,
654,City of Ketchikan,,,
655,City of Kewanee,,,
656,City of Key West,,,
657,City of Kill Devil Hills,,,
658,City of Killeen,,,
659,City of Kimball,,,
660,City of Kingston,,,
661,City of Kingsville,,,
662,City of Kingwood,,,
663,City of Knoxville,,,
664,City of La Cygne,,,
665,City of La Grange,,,
666,City of LaBarge,,,
667,City of Lake Andes Compost Facility,,,
668,City of Lake Forest,,,
669,City of Lamar,,,
670,City of Lamesa,,,
671,City of Lampasas Sanitary Landfill,,,
672,City of Lancaster,,,
673,City of Langdon,,,
674,City of Lansing Board of Water & Light,,,
675,City of Laramie,,,
676,City of Laredo,,,
677,City of Las Vegas,,,
678,City of Latrobe,,,
679,City of Lawrenceburg,,,
680,City of Lawton,,,
681,City of Lebanon,,,
682,City of Lee's Summit,,,
683,City of Leitchfield,,,
684,City of Lemmon,,,
685,City of Lenexa,,,
686,City of Lewiston,,,
687,City of Lincoln,,,
688,City of Little Rock,,,
689,City of Littlefield,,,
690,City of Livingston,,,
691,City of Livonia,,,
692,City of Llano,,,
693,City of Logan,,,
694,City of Lompoc,,,
695,City of Los Angeles,,,
696,City of Louisville,,,
697,City of Lovington,,,
698,City of Lubbock,,,
699,City of Mackinac Island,,,
700,City of Madison,,,
701,City of Madisonville,,,
702,City of Mandan,,,
703,City of Manila,,,
704,City of Mansfield,,,
705,City of Marietta,,,
706,City of Marion,,,
707,City of Markesan,,,
708,City of Marmet,,,
709,City of Martin,,,
710,City of Martinsville,,,
711,City of Mason,,,
712,City of Maumelle,,,
713,City of Mayville,,,
714,City of McAlester,,,
715,City of McAllen,,,
716,City of McCook,,,
717,City of McGrath,,,
718,City of McLean,,,
719,City of McMinnville,,,
720,City of Meadow,,,
721,City of Memphis,,,
722,City of Menard,,,
723,City of Meriden,,,
724,City of Mesquite,,,
725,City of Miami,,,
726,City of Midland,,,
727,City of Midwest City,,,
728,City of Milnor,,,
729,City of Milton-Freewater,,,
730,City of Milwaukee,,,
731,City of Mineral Wells,,,
732,City of Minot,,,
733,City of Mitchell,,,
734,City of Mohall,,,
735,City of Monahans,,,
736,City of Monmouth,,,
737,City of Monroe,,,
738,City of Montgomery,,,
739,City of Monticello,,,
740,City of Moody Landfill,,,
741,City of Moorhead,,,
742,City of Morrilton,,,
743,City of Morristown / Hamblen County,,,
744,City of Morton,,,
745,City of Muleshoe,,,
746,City of Murray,,,
747,City of Muscatine,,,
748,City of Myrtle Beach,,,
749,City of Nacogdoches,,,
750,City of Napaskiak,,,
751,City of Naperville,,,
752,City of Nashua,,,
753,City of Nashville/Davidson County,,,
754,City of Neligh,,,
755,City of New Bedford,,,
756,City of New Britain,,,
757,City of New London,,,
758,City of New Salem,,,
759,City of Newburgh,,,
760,City of Newcastle,,,
761,City of Newhalen,,,
762,City of Newport,,,
763,City of Newport Beach,,,
764,City of Newton,,,
765,City of Norman,,,
766,City of North Adams,,,
767,City of North Augusta,,,
768,City of North Myrtle Beach,,,
769,City of North Platte,,,
770,City of North Tonawanda,,,
771,City of Northampton,,,
773,City of Oakley,,,
774,City of Oconto,,,
772,City of O'Fallon,,,
775,City of Olton,,,
776,City of Onida,,,
777,City of Osceola,,,
778,City of Oswego,,,
779,City of Oxford,,,
780,City of Oxnard,,,
781,City of Ozark,,,
782,City of Palo Alto,,,
783,City of Pampa,,,
784,City of Panhandle,,,
785,City of Paris,,,
786,City of Park Falls,,,
787,City of Paso Robles,,,
788,City of Pauls Valley,,,
789,City of Payson,,,
790,City of Pearl,,,
791,City of Pecos,,,
792,City of Pensacola,,,
793,City of Perryton,,,
794,City of Perth Amboy,,,
795,City of Petersburg,,,
796,City of Pharr,,,
797,City of Phenix,,City found in AL,
798,City of Philadelphia,,,
799,City of Philippi,,,
800,City of Phoenix,,,
801,City of Pierre,,,
802,City of Pikeville,,,
803,City of Plainview,,,
804,City of Plentywood,,,
805,City of Point Hope,,,
806,City of Pomona,,,
807,City of Port Aransas,,,
808,City of Port Arthur,,,
809,City of Portage,,,
810,City of Portales,,,
811,City of Portsmouth,,,
812,City of Post,,,
813,City of Pottsville,,,
814,City of Poughkeepsie,,,
815,City of Prescott,,,
816,City of Presque Isle,,,
817,City of Rapid City,,,
818,City of Raton,,,
819,City of Rawlins,,,
820,City of Redding,,,
821,City of Redlands,,,
822,City of Reidsville,,,
823,City of Rialto,,,
824,City of Richland,,,
825,City of Richmond,,,
826,City of Richmond Sanitary District,,,
827,City of Riverview,,,
828,City of Robert Lee,,,
829,City of Robinson Landfill,,,
830,City of Rock River,,,
831,City of Rockland,,,
832,City of Rocksprings,,,
833,City of Rocky Mount,,,
834,City of Rocky River,,,
835,City of Rogers,,,
836,City of Rogers City,,,
837,City of Roma,,,
838,City of Rome,,,
839,City of Roswell,,,
840,City of Sabinal,,,
841,City of Sac City,,,
842,City of Saco,,,
843,City of Safford,,,
844,City of Saint Peters,,,
845,City of Salem,,,
846,City of Salina,,,
847,City of Sallisaw,,,
848,City of San Augustine,,,
849,City of San Diego,,,
850,City of San Saba,,,
851,City of Sand Point,,,
852,City of Santa Cruz,,,
853,City of Santa Maria,,,
854,City of Santa Monica,,,
855,City of Santa Rosa,,,
856,City of Saratoga Springs,,,
857,City of Sardis,,,
858,City of Savanna,,,
859,City of Savannah,,,
860,City of Sayre,,,
861,City of Scottsboro,,,
862,City of Scottsville/Allen County,,,
863,City of Sealy,,,
864,City of Searcy,,,
865,City of Seattle,,,
866,City of Seminole,,,
867,City of Seneca,,,
868,City of Seymour,,,
869,City of Shaker Heights,,,
870,City of Shamrock,,,
871,City of Sharon Springs,,,
872,City of Shelby,,,
873,City of Shelbyville,,,
874,City of Sheridan,,,
875,City of Sherman,,,
876,City of Sherrill,,,
877,City of Sidney,,,
878,City of Signal Mountain,,,
879,City of Siloam Springs,,,
880,City of Silsbee,,,
881,City of Sioux Falls,,,
882,City of Snyder,,,
883,City of Socorro,,,
884,City of Somerset,,,
885,City of South Gate,,,
886,City of South Portland,,,
887,City of Spearman,,,
888,City of Spencer,,,
889,City of Spokane Regional Solid Waste System,,,
890,City of Springfield,,,
891,City of St. Cloud,,,
892,City of St. Joseph,,,
893,City of St. Marys,,,
894,City of St. Robert,,,
895,City of Stanley,,,
896,City of Statesboro,,,
897,City of Stephenville,,,
898,City of Stone,,,
899,City of Stuttgart,,,
900,City of Summit,,,
901,City of Sunbury Municipal Authority,,,
902,City of Sundance,,,
903,City of Superior,,,
904,City of Sweetwater,,,
905,City of Syracuse,,,
906,City of Tacoma,,,
907,City of Tahlequah,,,
908,City of Tekamah,,,
909,City of Terrell,,,
910,City of Thermopolis,,,
911,City of Thomasville,,,
912,City of Tifton,,,
913,City of Toledo,,,
914,City of Torrington,,,
915,City of Trenton,,,
916,City of Truth Or Consequences,,,
917,City of Tucson,,,
918,City of Tucumcari,,,
919,City of Tulia,,,
920,City of Turkey,,,
921,City of Unalaska,,,
922,City of University City,,,
923,City of University Park,,,
924,City of Uvalde,,,
925,City of Valdez,,,
926,City of Valdosta,,,
927,City of Valentine,,,
928,City of Valley City,,,
929,City of Vaughn,,,
930,City of Vermillion,,,
931,City of Vinita,,,
932,City of Virginia Beach,,,
933,City of Waco,,,
934,City of Wadsworth,,,
935,City of Waldron,,,
936,City of Walla Walla,,,
937,City of Wamsutter,,,
938,City of Warren,,,
939,City of Washington,,,
940,City of Waterbury,,,
941,City of Watertown,,,
942,City of Watsonville,,,
943,City of Waupun,,,
944,City of Waurika,,,
945,City of Wauwatosa,,,
946,City of Wayne,,,
947,City of Weimar,,,
948,City of Wellington,,,
949,City of Weslaco,,,
950,City of West Fargo,,,
951,City of West Plains,,,
952,City of West Point,,,
953,City of West Wendover,,,
954,City of Westfield,,,
955,City of Westlake,,,
956,City of Westland,,,
957,City of Wheatland,,,
958,City of Whitmore,,,
959,City of Whittier,,,
960,City of Wichita Falls,,,
961,City of Williams,,,
962,City of Williston,,,
963,City of Wilmington,,,
964,City of Winnfield,,,
965,City of Winston-Salem,,,
966,City of Wolf Point,,,
967,City of Woodruff,,,
968,City of Woodville,,,
969,City of Worcester,,,
970,City of Wrangell,,,
971,City of Wytheville,,,
972,City of Yankton,,,
973,City of Yoakum,,,
974,City of York,,,
404,City Recycling,,,
405,"City Waste, LLC",,,
975,Civic Recycling Inc,,,
976,Claiborne County,,,
977,Clarendon County,,,
978,Clark County,,,
979,Clark County Solid Waste District,,,
980,Clark Township,,,
982,Clarke County,,,
983,Clarke County Landfill Commission,,,
984,Clarke Inc,,,
981,Clark's Disposal,,,
985,Clay County,,,
986,Clayton County,,,
