"","Code","Type","Family","Facility Name","Permit","Map Label","Location","City","County","State","Zip","Longitude","Latitude","Access","Waste Shed","Operating Days & Hours","Days /Year","Acres","Total of All Wastes (tons/day)","Volume Description","Principal Waste (tons/day)","Principal Waste Description","$/ Ton","Tip Fee Description","Remaining Capacity (tons)","Start Date","Close Date","Ownership","Owner Entity","Owner Code","Owner Contact","Owner Title","Owner Department","Owner Address 1","Owner Address 2","Owner Phone","Owner Fax","Owner Email","Operation","Operator Entity","Operator Code","Operator Contact","Operator Title","Operator Department","Operator Address 1","Operator Address 2","Operator Phone","Operator Fax","Operator Email","Waste Types Accepted","Waste Types NOT Accepted"
"11","IN0091","LF","LF","Advanced Disposal Blackfoot Landfill","63-04","IN-3","3726 East State Rte 64, RR 1","Winslow","Pike","IN","47598",-87.204723,38.320001,"Highway","County/Metro.","Mon-Fri 7am-5pm, Sat 7am-12pm",312,379,2150.45,"2,150 TPD",738.03,"MSW: 738 TPD",55,"MSW: $55.00 /Ton",4380000,1990-09-01,2030-12-31,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Charles Johnson","General Manager","Blackfoot Landfill","3726 East State Road 64","Winslow, IN  47598","(812) 789-2647","(812) 789-9490",NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Charles Johnson","General Manager","Blackfoot Landfill","3726 East State Road 64","Winslow, IN  47598","(812) 789-2647","(812) 789-9490",NA,"Alt. Daily Cover, Non-Friable Asb., C&D Waste, Carpet Mat., Cont. Soil, Indust. Waste, Rubble, MSW, Non-haz Ash, Sludge, Sand, Special Waste, Tires, Yard Waste","Electronics"
"12","IN0056","LF","LF","Advanced Disposal Hoosier Landfill","43-01, 43-16","IN-4","2710 E. 800 South","Claypool","Kosciusko","IN","46510",-85.785413,41.120067,"Highway","Regional Waste District","Mon-Fri 7am-5pm, Sat 7am-12pm",312,120,1449.01,"1,449 TPD",571.36,"MSW: 571 TPD",40,"MSW: $40.00 /Ton",0,1974-06-30,2019-12-31,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Greg Walk","Landfill Manager","Hoosier Landfill","2710 E. 800 South","Claypool, IN  46510","(260) 839-0300","(260) 839-5601","greg.walk@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Greg Walk","Landfill Manager","Hoosier Landfill","2710 E. 800 South","Claypool, IN  46510","(260) 839-0300","(260) 839-5601","greg.walk@veoliaes.com","Alt. Daily Cover, C&D Waste, Cont. Soil, Indust. Waste, Rubble, MSW, Non-haz Ash, Recyclables, Sand, Special Waste","Non-Friable Asb., Hazardous, Medical Waste, Sludge, Tires, Yard Waste"
"13","KY0088","LF","LF","Advanced Disposal Blue Ridge Landfill","033-00004","KY-1","2700 Winchester Road off 89","Irvine","Estill","KY","40336",-83.9965,37.7073,"Highway","County/Metro.","Mon-Fri 7:30am-4:30pm, Sat 8am-12pm",312,0,485.02,"485 TPD",349.43,"MSW: 349 TPD",31,"MSW: $31.00 /Ton",10600000,1990-03-15,2092-03-18,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Billy Bowles","Site Manager","Blue Ridge Landfill","2700 Winchester Rd","Irvine, KY  40336","(606) 723-5552",NA,"scotty.bishop@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Billy Bowles","Site Manager","Blue Ridge Landfill","2700 Winchester Rd","Irvine, KY  40336","(606) 723-5552",NA,"scotty.bishop@veoliaes.com","Alt. Daily Cover, Non-Friable Asb., C&D Waste, Carpet Mat., Cont. Soil, Indust. Waste, MSW, Sludge, Special Waste, Truck Tires, Tractor Tires, Tires, Yard Waste",NA
"14","KY0073","LF","LF","Advanced Disposal Morehead Landfill","103-00007","KY-2","300 Old Phelps Lane","Morehead","Rowan","KY","40351",-83.4436,38.1961,"Highway","Regional Waste District","Mon-Fri 8am-5pm, 1st Sat 8am-12pm",260,250,283.25,"283 TPD",195.04,"MSW: 195 TPD",13,"MSW: $13.00 /Ton",444000,1975-01-01,2026-12-31,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Dave Stucker","District Manager",NA,"300 Old Phelps Lane","Morehead, KY  40351","(606) 784-6544",NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. LeRoy Hodges","Operations Manager","Local Sanitation Service Inc","300 Old Phelps Lane","Morehead, KY  40351","(606) 784-6544","(606) 784-8570","leroy.hodges@veoliaes.com","Alt. Daily Cover, C&D Waste, Cont. Soil, Indust. Waste, MSW, Special Waste, Truck Tires, Tires, Yard Waste",NA
"15","MI0070","LF","LF","Advanced Disposal Arbor Hills Landfill","475946","MI-4","10690 West Six Mile Road","Northville","Wayne","MI","48168",-83.4796,42.4255,"Highway","County/Metro. Exclusive","Mon-Fri 7am-5pm, Sat 7am-12pm",312,337,6053.66,"6,053 TPD",3856.75,"MSW: 3,856 TPD",33.5,"MSW: $33.50 /Ton",22100000,1991-03-18,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Dave Rettell","General Manager","Arbor Hills Landfill","10690 West Six Mile Road","Northville, MI  48167","(248) 349-3215","(248) 349-5634","dave.rettell@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Dave Rettell","General Manager","Arbor Hills Landfill","10690 West Six Mile Road","Northville, MI  48167","(248) 349-3215","(248) 349-5634","dave.rettell@veoliaes.com","Non-Friable Asb., C&D Waste, Carpet Mat., Indust. Waste, MSW, Recyclables, Appliances, Yard Waste","Cont. Soil, Tires"
"16","MO0042","LF","LF","Advanced Disposal Maple Hill Landfill Inc","0112106","MO-1","31226 Intrepid Road","Macon","Macon","MO","63552",-92.53987,39.734379,"Highway","Regional Waste District","Mon-Fri 8am-4:30pm",260,384,492.3,"492 TPD",492.3,"MSW: 492 TPD",55,"MSW: $55.00 /Ton",3310000,1975-05-15,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Dave Sellhorst","General Manager","Maple Hill Landfill","31226 Intrepid Rd., PO Box 389","Bevier, MO  63532","(660) 773-5459","(660) 773-6690",NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Dave Sellhorst","General Manager","Maple Hill Landfill","31226 Intrepid Rd., PO Box 389","Bevier, MO  63532","(660) 773-5459","(660) 773-6690",NA,"Alt. Daily Cover, Non-Friable Asb., C&D Waste, Cont. Soil, MSW, Sludge, Tires, Wood, Yard Waste",NA
"17","PA0090","LF","LF","Advanced Disposal Chestnut Valley Landfill","100419","PA-8","1184 McClellandtown Rd, off Route 21","Mc Clellandtown","Fayette","PA","15458",-79.8558,39.891,"Highway","County/Metro.","Mon-Fri 8am-3pm",260,0,778.99,"778 TPD",419.05,"DI : 419 TPD",51,"DI : $51.00 /Ton",1240000,1985-06-30,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Dean T. Mori","General Manager","Chestnut Valley Landfill","1184 McClellandtown Road","Mc Clellandtown, PA  15458","(724) 892-2199","(724) 437-7378","dean.mori@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Dean T. Mori","General Manager","Chestnut Valley Landfill","1184 McClellandtown Road","Mc Clellandtown, PA  15458","(724) 892-2199","(724) 437-7378","dean.mori@veoliaes.com","Non-Friable Asb., C&D Waste, Cont. Soil, Indust. Waste, Medical Waste, MSW, Non-haz Ash, Sludge","Tires, Yard Waste"
"18","PA0069","LF","LF","Advanced Disposal Cumberland County Landfill","100945","PA-9","142 Vaughn Road","Shippensburg","Cumberland","PA","17257",-77.504046,40.142206,"Highway","Regional Waste District","Mon-Fri 7am-3:30pm, Sat 7am-10:30am",312,600,2038.99,"2,038 TPD",1091.05,"MSW: 1,091 TPD",84,"MSW: $84.00 /Ton",283000,NA,2021-12-31,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Kevin Bush","General Manager","Cumberland County Landfill","620 Newville Rd","Newburg, PA  17240","(717) 423-9953","(717) 423-6822","kbush@iswaste.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Kevin Bush","General Manager","Cumberland County Landfill","620 Newville Rd","Newburg, PA  17240","(717) 423-9953","(717) 423-6822","kbush@iswaste.com","Asbestos, Non-Friable Asb., C&D Waste, Carpet Mat., Indust. Waste, Medical Waste, MSW, Non-haz Ash, Sludge","Cont. Soil, Tires, Appliances, Yard Waste"
"19","PA0095","LF","LF","Advanced Disposal Greentree Landfill","101397","PA-10","635 Toby Road, South of I80","Kersey","Elk","PA","15846",-78.6016,41.3555,"Highway","Regional Waste District","Mon-Fri 7am-4pm, Sat 7am-11am",312,1400,1719.8,"1,719 TPD",1312.18,"MSW: 1,312 TPD",45,"MSW: $45.00 /Ton",3640000,1986-05-15,2027-03-18,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Donald Henrichs","Eastern Region Area Manager","Greentree Landfill","635 Toby Road","Kersey, PA  15846","(814) 265-1744","(814) 265-8745","donald.henrichs@advanceddisposal.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Rudy Pollino","Site Manager","Greentree Landfill","635 Toby Road","Kersey, PA  15846","(814) 265-1744","(814) 265-8745",NA,"Asbestos, Non-Friable Asb., C&D Waste, Carpet Mat., Cont. Soil, Indust. Waste, Medical Waste, MSW, Non-haz Ash, Sludge, Tires, Appliances, Freon Appl.",NA
"20","PA0078","LF","LF","Advanced Disposal Sandy Run Landfill","101538","PA-12","995 Landfill Road, Township Road 549","Hopewell","Bedford","PA","16650",-78.3148,40.1214,"Highway","Regional Waste District","Mon-Fri 7am-3:30pm",260,718,122.09,"122 TPD",66.74,"DI : 66 TPD",85,"DI : $85.00 /Ton",599000,NA,2025-12-31,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Kevin Bush","General Manager","Sandy Run Landfill","995 Landfill Rd","Hopewell, PA  16650","(814) 928-5001","(814) 928-3318","kevin.bush@advanceddisposal.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Kevin Bush","General Manager","Sandy Run Landfill","995 Landfill Rd","Hopewell, PA  16650","(814) 928-5001","(814) 928-3318","kevin.bush@advanceddisposal.com","Non-Friable Asb., C&D Waste, Indust. Waste, MSW, Sludge, Truck Tires, Tires, Appliances, Yard Waste","Cont. Soil"
"21","PA0105","LF","LF","Advanced Disposal Western Berks Landfill","100739","PA-13","455 Poplar Neck Road","Birdsboro","Berks","PA","19508",-75.908437,40.302701,"Highway","Regional Waste District","Mon-Fri 7am-4pm, (Sat 7am-12pm Apr-Sep)",260,50,892,"892 TPD",527.46,"MSW: 527 TPD",64.05,"MSW: $64.05 /Ton",1150000,1972-06-30,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Troy Fink","Landfill Manager","Western Berks Landfill","455 Poplar Neck Road","Birdsboro, PA  19508","(610) 375-1516","(610) 375-2128",NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Troy Fink","Landfill Manager","Western Berks Landfill","455 Poplar Neck Road","Birdsboro, PA  19508","(610) 375-1516","(610) 375-2128",NA,"Non-Friable Asb., C&D Waste, Cont. Soil, Indust. Waste, Medical Waste, MSW, Non-haz Ash, Sludge, Yard Waste",NA
"22","PA0220","LF","LF","Mostoller Landfill","101571","PA-44","7095 Glades Pike Road","Somerset","Somerset","PA","155014213",-78.986991,39.978635,"Highway","County/Metro.","Mon-Fri 7am-3pm, Sat 7am-10am",312,13,542.62,"542 TPD",398.83,"MSW: 398 TPD",53.56,"MSW: $53.56 /Ton",172000,1988-10-01,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Donald Henrichs","Eastern Region Area Manager","Greentree Landfill","635 Toby Road","Kersey, PA  15846","(814) 265-1744","(814) 265-8745","donald.henrichs@advanceddisposal.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Steve Ott","General Manager","Mostoller Landfill","7095 Glades Pike Road","Somerset, PA  15501","(814) 444-0112","(814) 444-0127","sott@iswaste.com","Non-Friable Asb., C&D Waste, Indust. Waste, MSW, Non-haz Ash, Sludge",NA
"23","TN0802","LF","LF","EcoSafe Systems Class I Landfill","SNL820000282","TN-25","385 Harr Lane","Blountville","Sullivan","TN","37617",-82.360556,36.56,"Highway",NA,"Mon-Fri 6:30am-4:30pm",260,0,985.15,"985 TPD",985.15,"MSW: 985 TPD",34,"MSW: $34.00 /Ton",197000,2012-07-01,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Justin Rodda",NA,NA,"P.O. Box 3344","Bristol, TN  37625","(423) 574-1900",NA,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Justin Rodda",NA,NA,"P.O. Box 3344","Bristol, TN  37625","(423) 574-1900",NA,NA,"MSW",NA
"24","WI0168","LF","LF","Advanced Disposal Cranberry Creek Landfill Inc","02967, 04210","WI-5","2510 Engle Road","Wisconsin Rapids","Wood","WI","54495",-89.870834,44.420834,"Highway, Rail","Regional Waste District","Mon-Fri 6am-4:30pm, Sat 6am-12pm",312,1060,1015.09,"1,015 TPD",654.81,"MSW: 654 TPD",70,"MSW: $70.00 /Ton",2910000,1986-06-15,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Rick Presser","General Manager",NA,"2510 Engle Road","Wisconsin Rapids, WI  54495","(715) 421-3939","(715) 423-0479","richard.presser@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Rick Presser","General Manager",NA,"2510 Engle Road","Wisconsin Rapids, WI  54495","(715) 421-3939","(715) 423-0479","richard.presser@veoliaes.com","Alt. Daily Cover, Animal Waste, Asbestos, Non-Friable Asb., C&D Waste, Cont. Soil, Indust. Waste, Rubble, MSW, Non-haz Ash, Sludge, Sand, Truck Tires, Tires, Appliances","Medical Waste, Yard Waste"
"25","WI0295","LF","LF","Advanced Disposal Emerald Park Landfill Inc","03290","WI-6","W124 S10629 South 124th Street","Muskego","Waukesha","WI","53150",-88.1243,42.9041,"Highway","Regional Waste District","Mon-Fri 7am-4pm, Sat 7am-10:30am",312,340,1681.49,"1,681 TPD",1057.35,"MSW: 1,057 TPD",62.3,"MSW: $62.30 /Ton",6070000,1994-01-01,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Chris Rooney","Area Manager","Superior Emerald Park Landfill, LLC","W124 S10629, South 124th Street","Muskego, WI  53150","(414) 529-1360","(414) 529-1478","chris.rooney@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. David Geyer","General Manager","Emerald Park","W124 S10629, South 124th Street","Muskego, WI  53150","(414) 529-1360","(414) 529-1478",NA,"Alt. Daily Cover, Asbestos, Non-Friable Asb., C&D Waste, Carpet Mat., Cont. Soil, Indust. Waste, Rubble, MSW, Non-haz Ash, Sludge, Sand, Wood, Yard Waste",NA
"26","WI0091","LF","LF","Advanced Disposal Glacier Ridge Landfill","03068","WI-7","North 7296 Hwy V","Horicon","Dodge","WI","53032",-88.6306,43.446,"Highway","Regional Waste District","Mon-Fri 6:15am-4:30pm, Summer: Sat 7am-11:30am",260,560,2583.7,"2,583 TPD",1733.91,"MSW: 1,733 TPD",80.42,"MSW: $80.42 /Ton",7080000,1986-11-01,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Lonn Walter","General Manager",NA,"North 7296 Highway V","Horicon, WI  53032","(920) 387-0987","(920) 387-0999",NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Lonn Walter","General Manager",NA,"North 7296 Highway V","Horicon, WI  53032","(920) 387-0987","(920) 387-0999",NA,"Alt. Daily Cover, Asbestos, Non-Friable Asb., C&D Waste, Carpet Mat., Electronics, Cont. Soil, Indust. Waste, Rubble, MSW, Non-haz Ash, Scrap Paper, Sludge, Sand, Tires, Appliances, Yard Waste",NA
"27","WI0314","LF","LF","Advanced Disposal Hickory Meadows Landfill",NA,"WI-8","W 3105 Schneider Road","Chilton","Calumet","WI","53014",-88.192772,44.106406,"Highway","Regional Waste District","Mon-Fri 6:30am-4pm",260,59,3303.98,"3,303 TPD",1364.19,"CS : 1,364 TPD",72,"CS : $72.00 /Ton",4300000,1999-01-01,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Brian Hopkins","General Manager","Hickory Meadows Landfill","W3105 Schneider Road","Hilbert, WI  54129","(920) 853-8553","(920) 853-3513","brian.hopkins@veoliaes.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Brian Hopkins","General Manager","Hickory Meadows Landfill","W3105 Schneider Road","Hilbert, WI  54129","(920) 853-8553","(920) 853-3513","brian.hopkins@veoliaes.com","Alt. Daily Cover, Non-Friable Asb., C&D Waste, Cont. Soil, Indust. Waste, Rubble, MSW, Non-haz Ash, Scrap Paper, Recyclables, Sludge, Sand, Tires","Yard Waste"
"28","WI0048","LF","LF","Advanced Disposal Mallard Ridge Landfill","03782","WI-9","W8470 State Road 11","Delavan","Walworth","WI","53115",-88.6281,42.6264,"Highway","County/Metro.","Mon-Fri 7am-4pm",260,40,1096.68,"1,096 TPD",883.39,"MSW: 883 TPD",55,"MSW: $55.00 /Ton",3640000,1985-12-30,NA,"Private","Advanced Disposal Services, Inc.","AIGH","Mr. Scott McCracken","General Manager","Mallard Ridge Landfill","W8470 State Road 11","Delavan, WI  53115","(262) 724-3257","(262) 724-5479","scott.mccracken@advanceddisposal.com","Private","Advanced Disposal Services, Inc.","AIGH","Mr. Scott McCracken","General Manager","Mallard Ridge Landfill","W8470 State Road 11","Delavan, WI  53115","(262) 724-3257","(262) 724-5479","scott.mccracken@advanceddisposal.com","Non-Friable Asb., C&D Waste, Carpet Mat., Cont. Soil, Indust. Waste, Rubble, MSW, Non-haz Ash, Sand, Tires, Yard Waste",NA
