"","Operator Code","count"
"154","Bannock County",1
"155","Barber County",1
"156","Barker Conrete & Construction, Inc.",1
"157","Barnhart Dozer",1
"158","Barnwell County",1
"159","Bartholomew County Solid Waste Management District",1
"160","Barton County",1
"161","Bartow County",2
"162","Basin Disposal, Inc.",1
"163","Bass Waste Removal Transfer Station",1
"164","Bastrop County",1
"165","Bath County",1
"166","Batliner Recycling",1
"167","Bavarian Trucking Company",1
"168","Bay County Solid Waste Division",1
"169","Bay Side Recycling",1
"170","Bayshore Recycling Corp.",1
"171","Bear Lake County",1
"172","Bear Valley Community Services District",1
"173","Beasley Disposal Inc",1
"174","Beaver County Special Service District #5",1
"175","Beaverhead County",1
"176","Becker County",2
"177","Bedford County",2
"178","Bedroc Contracting, LLC",1
"179","Bee Garbage Transfer System, Inc",1
"180","Bell County",1
"181","Benewah County",1
"182","Bennett Construction, Inc.",1
"183","Benton County Solid Waste Disposal Commission",1
"184","Berdshire Cleanway Inc",1
"185","Berkeley County Water and Sanitation",1
"186","Berks Transfer, Inc.",1
"187","Berky's Transfer Site Container Service",1
"188","Bernalillo County",1
"189","Berryessa Garbage Service, Inc",1
"190","Bert Adams Disposal",1
"191","Bertolotti Disposal, Inc",1
"192","Berwick Town Office",1
"193","Best Disposal Inc.",1
"194","Best Disposal Service",1
"195","Bestway Recycling Co., Inc.",1
"196","Bestway Recycling Inc",1
"197","Bi-County Disposal Inc",1
"198","Bi-County Solid Waste System",2
"199","Big Apple Demolition",1
"200","Big Bend National Park",1
"201","Big City Recycling",1
"202","Big Creek Township",1
"203","Big Horn County Solid Waste Disposal District",1
"204","Big Sky Environmental LLC",1
"205","Bingham County",1
"206","Bio Pappel International",1
"207","Bio-PAPPEL International",1
"208","BioCyclie Services",1
"209","Birmingham Recycling & Recovery LLC, USA",1
"210","Black Hawk County Solid Waste Management",1
"211","Black Warrior Solid Waste Authority",1
"212","Bladen County",1
"213","Blair County",1
"214","Bleckley County",1
"215","Blount County",1
"216","Blue Creek Compost Facility",1
"217","Blue Earth County",1
"218","Blue Hills Environmental Association",2
"219","Blue Line Transfer Inc",1
"220","Blue Monkey Recycling LLC",1
"221","Blue Mountain Refuse Inc",1
"222","Blue Ridge Disposal Inc.",1
"223","Bo's Rolloff Service",1
"224","Bob Walker Hauling & Transfer",1
"225","Bob's Heavy Equipment",1
"226","Bob's Sanitation Inc",1
"227","Boggs Paving Asphalt Shingle Recycling",1
"228","Boise County",1
"229","Bonner County",1
"230","Bonneville County",2
"231","Boone County",3
"232","Boone County Resource Recovery Inc.",1
"233","Boothbay Regional Refuse Disposal District",1
"234","Borough of Bergenfield",1
"235","Borough of Creskill",1
"236","Borough of Hanover",1
"237","Borough of Kodiak Island",1
"238","Borough of Lewistown",1
"239","Borough of Naugatuck",1
"240","Borough of North Slope",1
"241","Borough of Tenafly",1
"242","Boston Mountain Solid Waste District",1
"243","Botetourt County",1
"244","Botgge",1
"245","Boulder City Disposal Inc.",1
"246","Boulder County Land Use Department",1
"247","Boundary County",1
"248","Bourbon County",1
"249","Bowling Green Recycling Center",1
"250","Box Elder County",1
"251","Boxx Sanitation",1
"252","Boyd E. Diller Inc.",1
"253","Boyd Roll-Off Services, Inc.",1
"254","Boyne Valley Township",1
"255","Bradford Transfer Station",1
"256","Bradley's TS",1
"257","Brandywine Enterprises Inc",1
"258","Brantley County",1
"259","Bratenahl Village",1
"260","Brauns Waste Management",1
"261","Brazostort Environment & Recycling Services, Inc. (BEARS)",1
"262","Bremer County",1
"263","Brevard County",2
"264","Bristol Bay Borough",1
"265","Broad Canyon Landfill",1
"266","Broad Run Recycling Inc.",1
"267","Broadwater County",1
"268","Bronx City Recycling, Inc.",1
"269","Bronx River Haulage",1
"270","Brookfield Resource Management, Inc.",1
"271","Broome County",1
"272","Broome Recycling Co Inc",1
"273","Broward County",1
"274","Broward County, Waste & Recycling Services",1
"275","Brown County",3
"276","Brown County Solid Waste Authority",1
"277","Brown Enterprises",1
"278","Brunswick County",1
"279","Buckeye Sanitation, Inc.",1
"280","Buckingham Recycles",1
"281","Buds Sanitation",1
"282","Bueckers Sanitation",1
"283","Buena Vista County",1
"284","Bulldog Systems Inc.",1
"285","Buncombe County",2
"286","Bunn Box Inc.",1
"287","Burbank Recycling, Inc.",1
"288","Burke County",2
"289","Burlington County",1
"290","Burney Disposal, Inc.",1
"291","Butler County",1
"292","Butler County Solid Waste Commission",1
"293","Butte County",1
"294","C & B Sanitary Service",1
"295","C & D Recovery, LLC",1
"296","C & O Recycling Enterprises, Inc.",1
"297","C & S Waste Solutions",1
"298","C&C Sanitation",1
"299","C&S Waste Solutions",1
"300","C. J. Mabardy Inc.",1
"301","C.D. Man LLC",1
"302","CALMT",1
"303","CARAU",3
"304","CART'M Recycling",1
"305","CD Man LLC",1
"306","CES, LLC",1
"307","CGS Services, Inc.",2
"308","CLEA",2
"309","CLEAN",3
"310","COV",7
"311","CR&R",3
"312","CRRA",6
"313","CWST",21
"314","Cabarrus County",1
"315","Cal Farley's Boys Ranch",1
"316","Cal-Sierra Machine",1
"317","Cal-Waste Recovery Systems",1
"318","Calamari Recycling Co., Inc.",1
"319","Calaveras County Department of Public Works",2
"320","Calhoun County",3
"321","California Waste Services LLC (CWS)",1
"322","California Waste Solutions",1
"323","Callanan Industries",1
"324","Calvert County",1
"325","Calvert's Roll-Off Containers",1
"326","Camden County",1
"327","Camden County Pollution Control Financing Authority",1
"328","Campbell County",1
"329","Canby Transfer & Recycling, Inc.",1
"330","Candler County",1
"331","Canon Virginia, Inc.",1
"332","Canyon County",1
"333","Canyonlands Community Recycling",1
"334","Cape May County Municipal Utilities Authority",2
"335","Cape Sand and Recycling LLC",1
"336","Capital Paper Recycling",1
"337","Capital Region Solid Waste Management Partnership",1
"338","Capitol Fibers Inc.",1
"339","Capitol Recycling of Connecticut",1
"340","Carbon County",2
"341","Cardella Waste",1
"342","Cardinal Disposal",1
"343","Cardinal Sanitation",1
"344","Caribou County",1
"345","Carlton County",1
"346","Carmen Barbato, Inc.",1
"347","Carroll County",3
"348","Carroll County Solid Waste Authority",1
"349","Carter's Royal Dispos-all, Inc.",1
"350","Carver-Marion-Wareham District",1
"351","Cascades Recovery Inc.",2
"352","Casey Truck Equipment",1
"353","Cass County",2
"354","Cass County Environmental Control Agency",2
"355","Catawba County",1
"356","Catron County",1
"357","Cattaraugus County",1
"358","Cavalier Environmental Compliance Services (CECS)",1
"359","Cecil County",3
"360","Cedar County Solid Waste Commission",1
"361","Cedar Creek Township",1
"362","Cedar Rapids Linn County Solid Waste Agency",2
"363","Central Disposal LLC",1
"364","Central Disposal, LLC",2
"365","Central Ohio Contractors, Inc.",1
"366","Central Recycling & Transfer, LLC",1
"367","Central Weston County SWDD",1
"368","Centre County Solid Waste Authority",1
"369","Chaffee County",1
"370","Chambers County",1
"371","Chambers Paper Fibres Corporation",1
"372","Charles Chrin Companies",1
"373","Charles County",1
"374","Charleston County",2
"375","Charlotte County",2
"376","Chase n Green Recycling",1
"377","Chatham County",1
"378","Chattooga County",1
"379","Chautauqua County",2
"380","Cheatham County",1
"381","Chelan County",1
"382","Chemtech of Richmond",1
"383","Chenango County",2
"384","Cherokee County",3
"385","Cherokee County Solid Waste Commission",1
"386","Cherokee Nation of Oklahoma",1
"387","Chester County",1
"388","Chester County Solid Waste Authority",1
"389","Chesterfield County",2
"390","Cheyenne County",1
"391","Cheyenne River Sioux Tribe",1
"392","Chicago Grade Landfill, Inc.",1
"393","Chicot County",1
"394","Chittenden Solid Waste District",1
"395","Circleville Town Landfill",1
"396","Ciro Associates, LLC",1
"397","Citrus County",1
"398","City & Borough of Sitka",2
"399","City & County of Honolulu",1
"400","City Carting & Recycling, Inc.",1
"401","City Fibers Corporation",1
"402","City Fibers Inc",1
"403","City Garbage Services",1
"404","City Recycling",1
"405","City Waste, LLC",1
"406","City of Abbotsford",1
"407","City of Aberdeen",1
"408","City of Ada",1
"409","City of Alamogordo",2
"410","City of Albemarle",1
"411","City of Albuquerque",1
"412","City of Albuquerque IPF",1
"413","City of Alcoa",1
"414","City of Alice",1
"415","City of Alliance",2
"416","City of Altus",1
"417","City of Alva",1
"418","City of Amarillo",2
"419","City of Andrews",1
"420","City of Arcadia",1
"421","City of Arkadelphia",1
"422","City of Artesia",1
"423","City of Asheboro",1
"424","City of Atoka",1
"425","City of Atqasuk",1
"426","City of Auburn",1
"427","City of Augusta",1
"428","City of Austin",1
"429","City of Baggs",1
"430","City of Baltimore",2
"431","City of Bartlett",1
"432","City of Bath",1
"433","City of Baytown",1
"434","City of Beach",2
"435","City of Beatrice",2
"436","City of Beaumont",1
"437","City of Bedford",1
"438","City of Belfast",1
"439","City of Beloit",1
"440","City of Bennettsville",1
"441","City of Berkeley",1
"442","City of Bethel",1
"443","City of Beulah",1
"444","City of Big Lake",1
"445","City of Big Spring",1
"446","City of Big Timber",1
"447","City of Billings",1
"448","City of Binghamton",1
"449","City of Birmingham",1
"450","City of Bismarck",1
"451","City of Bloomington",1
"452","City of Bonduel",1
"453","City of Booker",1
"454","City of Borger",1
"455","City of Boscobel",1
"456","City of Bossier City",2
"457","City of Bottineau",1
"458","City of Bountiful",1
"459","City of Brackettville",1
"460","City of Brady",1
"461","City of Brenham",1
"462","City of Brentwood",1
"463","City of Bridgeport",1
"464","City of Bristol",3
"465","City of Broken Arrow",1
"466","City of Broken Bow",1
"467","City of Brookings",1
"468","City of Brownfield",1
"469","City of Brownsville",1
"470","City of Brownwood",1
"471","City of Buckhannon",1
"472","City of Burbank",1
"473","City of Burkburnett",1
"474","City of Burleson",1
"475","City of Cactus",1
"476","City of Cairo",1
"477","City of Calais",1
"478","City of Camden",1
"479","City of Canadian",1
"480","City of Canton",2
"481","City of Cape Girardeau",1
"482","City of Carrizo Springs",1
"483","City of Carrollton",1
"484","City of Carson City",1
"485","City of Carthage",1
"486","City of Casa Grande",1
"487","City of Casper",1
"488","City of Cedar Falls",1
"489","City of Centralia",1
"490","City of Chandler",1
"491","City of Chanute",1
"492","City of Chattanooga",1
"493","City of Checotah",1
"494","City of Chelan",1
"495","City of Chelsea",1
"496","City of Chesapeake",1
"497","City of Childress",1
"498","City of Choteau",1
"499","City of Claremont",1
"500","City of Clarendon Transfer Station",1
"501","City of Clarksdale",1
"502","City of Clearwater",1
"503","City of Cleburne",2
"504","City of Cleveland",1
"505","City of Cleveland Heights",1
"506","City of Clinton",1
"507","City of Clovis",1
"508","City of Cody",1
"509","City of Collegedale",1
"510","City of Colorado City",1
"511","City of Columbia",2
"512","City of Columbus",2
"513","City of Condon",1
"514","City of Connersville",1
"515","City of Conway",1
"516","City of Copperas Cove",1
"517","City of Coral Springs",1
"518","City of Corbin",1
"519","City of Cordova",1
"520","City of Corpus Christi",3
"521","City of Corsicana",1
"522","City of Cotulla",1
"523","City of Council Bluffs",1
"524","City of Covington",2
"525","City of Crane",1
"526","City of Crete",1
"527","City of Crockett",1
"528","City of Crowell/Foard County",1
"529","City of Crystal City",1
"530","City of Cudahy",1
"531","City of Culver City",1
"532","City of Dalhart",1
"533","City of Dallas",2
"534","City of Dayton",1
"535","City of Dearborn",1
"536","City of Decatur",2
"537","City of Deer Park",1
"538","City of Deerfield Beach",1
"539","City of Deming",2
"540","City of Denton, Texas",1
"541","City of Detroit",1
"542","City of Devil's Lake",1
"543","City of Dewitt",1
"544","City of Dickinson",2
"545","City of Dillingham",1
"546","City of Dimmitt",1
"547","City of Douglas",1
"548","City of Dumas",1
"549","City of Durant",1
"550","City of Durham",1
"551","City of Dyersberg",1
"552","City of Eagle Pass",2
"553","City of Eden",1
"554","City of Edgewater",1
"555","City of Edinburg",1
"556","City of El Cerrito",1
"557","City of El Dorado",1
"558","City of El Paso",1
"559","City of Elgin",1
"560","City of Elk City",1
"561","City of Elk Grove",1
"562","City of Elk Point",1
"563","City of Elko",1
"564","City of Ellendale",1
"565","City of Ellsworth",1
"566","City of Eloy",1
"567","City of Ely",1
"568","City of Englewood",1
"569","City of Enid",1
"570","City of Enterprise",1
"571","City of Eufaula",1
"572","City of Fairbury",1
"573","City of Fairhope",1
"574","City of Fall River",1
"575","City of Fallon",2
"576","City of Fargo",1
"577","City of Farmington",1
"578","City of Fayetteville",1
"579","City of Fergus Falls",1
"580","City of Flagstaff",1
"581","City of Florence",1
"582","City of Floydada",1
"583","City of Folsom",1
"584","City of Fort Smith",1
"585","City of Fort Stockton",1
"586","City of Fox Lake",1
"587","City of Franklin",2
"588","City of Fredericksburg",2
"589","City of Fredericktown",1
"590","City of Gadsden",1
"591","City of Gainesville",1
"592","City of Gardner",1
"593","City of Garland",3
"594","City of Geneva",1
"595","City of Gering",1
"596","City of Glasgow",1
"597","City of Glendale",2
"598","City of Glendive",1
"599","City of Glenrock",1
"600","City of Glenwood Springs",1
"601","City of Goldsboro",1
"602","City of Gonzales",1
"603","City of Goodlettsville",1
"604","City of Grand Forks",1
"605","City of Grand Island",2
"606","City of Grand Prairie",1
"607","City of Great Falls",1
"608","City of Green River",1
"609","City of Greensboro",1
"610","City of Greenville",1
"611","City of Griffin",1
"612","City of Guthrie",1
"613","City of Guymon",1
"614","City of Haines",1
"615","City of Hallettsville",1
"616","City of Hamden",1
"617","City of Hardin",1
"618","City of Harlingen",2
"619","City of Harlowton",1
"620","City of Harrisonburg",1
"621","City of Hartington",1
"622","City of Hartselle",1
"623","City of Harvey",1
"624","City of Haskell",1
"625","City of Hastings",1
"626","City of Hawthorne",1
"627","City of Hazard",1
"628","City of Helena",1
"629","City of Henderson",1
"630","City of Henryetta",1
"631","City of Hereford",1
"632","City of Hickory",1
"633","City of High Point",2
"634","City of Hohenwald",1
"635","City of Holdrege",1
"636","City of Hope",1
"637","City of Hot Springs",1
"638","City of Houston",2
"639","City of Huntington",2
"640","City of Huntsville",1
"641","City of Huron",1
"642","City of Imperial",1
"643","City of Iowa City",1
"644","City of Irving",1
"645","City of Jamestown",1
"646","City of Janesville",1
"647","City of Jasper",1
"648","City of Junction",1
"649","City of Kadoka",1
"650","City of Kearney",1
"651","City of Keene",1
"652","City of Kendallville",1
"653","City of Kenosha",1
"654","City of Ketchikan",1
"655","City of Kewanee",1
"656","City of Key West",1
"657","City of Kill Devil Hills",1
"658","City of Killeen",1
"659","City of Kimball",2
"660","City of Kingston",1
"661","City of Kingsville",2
"662","City of Kingwood",1
"663","City of Knoxville",1
"664","City of La Cygne",1
"665","City of La Grange",1
"666","City of LaBarge",1
"667","City of Lake Andes Compost Facility",1
"668","City of Lake Forest",1
"669","City of Lamar",2
"670","City of Lamesa",1
"671","City of Lampasas Sanitary Landfill",1
"672","City of Lancaster",1
"673","City of Langdon",1
"674","City of Lansing Board of Water & Light",1
"675","City of Laramie",1
"676","City of Laredo",2
"677","City of Las Vegas",1
"678","City of Latrobe",1
"679","City of Lawrenceburg",1
"680","City of Lawton",1
"681","City of Lebanon",2
"682","City of Lee's Summit",1
"683","City of Leitchfield",1
"684","City of Lemmon",1
"685","City of Lenexa",1
"686","City of Lewiston",1
"687","City of Lincoln",2
"688","City of Little Rock",1
"689","City of Littlefield",1
"690","City of Livingston",1
"691","City of Livonia",2
"692","City of Llano",2
"693","City of Logan",2
"694","City of Lompoc",2
"695","City of Los Angeles",2
"696","City of Louisville",1
"697","City of Lovington",1
"698","City of Lubbock",2
"699","City of Mackinac Island",1
"700","City of Madison",1
"701","City of Madisonville",1
"702","City of Mandan",1
"703","City of Manila",1
"704","City of Mansfield",1
"705","City of Marietta",1
"706","City of Marion",1
"707","City of Markesan",1
"708","City of Marmet",1
"709","City of Martin",1
"710","City of Martinsville",1
"711","City of Mason",1
"712","City of Maumelle",1
"713","City of Mayville",1
"714","City of McAlester",1
"715","City of McAllen",1
"716","City of McCook",1
"717","City of McGrath",1
"718","City of McLean",1
"719","City of McMinnville",1
"720","City of Meadow",1
"721","City of Memphis",2
"722","City of Menard",1
"723","City of Meriden",1
"724","City of Mesquite",1
"725","City of Miami",1
"726","City of Midland",1
"727","City of Midwest City",1
"728","City of Milnor",1
"729","City of Milton-Freewater",1
"730","City of Milwaukee",1
"731","City of Mineral Wells",1
"732","City of Minot",1
"733","City of Mitchell",2
"734","City of Mohall",1
"735","City of Monahans",1
"736","City of Monmouth",1
"737","City of Monroe",1
"738","City of Montgomery",1
"739","City of Monticello",1
"740","City of Moody Landfill",1
"741","City of Moorhead",1
"742","City of Morrilton",1
"743","City of Morristown / Hamblen County",1
"744","City of Morton",1
"745","City of Muleshoe",1
"746","City of Murray",2
"747","City of Muscatine",1
"748","City of Myrtle Beach",1
"749","City of Nacogdoches",1
"750","City of Napaskiak",1
"751","City of Naperville",1
"752","City of Nashua",1
"753","City of Nashville/Davidson County",1
"754","City of Neligh",1
"755","City of New Bedford",1
"756","City of New Britain",1
"757","City of New London",1
"758","City of New Salem",1
"759","City of Newburgh",1
"760","City of Newcastle",1
"761","City of Newhalen",1
"762","City of Newport",1
"763","City of Newport Beach",1
"764","City of Newton",2
"765","City of Norman",1
"766","City of North Adams",1
"767","City of North Augusta",1
"768","City of North Myrtle Beach",1
"769","City of North Platte",1
"770","City of North Tonawanda",1
"771","City of Northampton",1
"772","City of O'Fallon",1
"773","City of Oakley",1
"774","City of Oconto",1
"775","City of Olton",1
"776","City of Onida",1
"777","City of Osceola",1
"778","City of Oswego",1
"779","City of Oxford",1
"780","City of Oxnard",1
"781","City of Ozark",1
"782","City of Palo Alto",1
"783","City of Pampa",1
"784","City of Panhandle",1
"785","City of Paris",3
"786","City of Park Falls",1
"787","City of Paso Robles",1
"788","City of Pauls Valley",1
"789","City of Payson",1
"790","City of Pearl",1
"791","City of Pecos",1
"792","City of Pensacola",1
"793","City of Perryton",1
"794","City of Perth Amboy",1
"795","City of Petersburg",1
"796","City of Pharr",1
"797","City of Phenix",1
"798","City of Philadelphia",1
"799","City of Philippi",1
"800","City of Phoenix",2
"801","City of Pierre",1
"802","City of Pikeville",1
"803","City of Plainview",2
"804","City of Plentywood",1
"805","City of Point Hope",1
"806","City of Pomona",1
"807","City of Port Aransas",1
"808","City of Port Arthur",1
"809","City of Portage",1
"810","City of Portales",1
"811","City of Portsmouth",2
"812","City of Post",1
"813","City of Pottsville",1
"814","City of Poughkeepsie",1
"815","City of Prescott",1
"816","City of Presque Isle",2
"817","City of Rapid City",2
"818","City of Raton",1
"819","City of Rawlins",2
"820","City of Redding",2
"821","City of Redlands",1
"822","City of Reidsville",1
"823","City of Rialto",1
"824","City of Richland",2
"825","City of Richmond",2
"826","City of Richmond Sanitary District",1
"827","City of Riverview",1
"828","City of Robert Lee",1
"829","City of Robinson Landfill",1
"830","City of Rock River",1
"831","City of Rockland",1
"832","City of Rocksprings",1
"833","City of Rocky Mount",1
"834","City of Rocky River",1
"835","City of Rogers",1
"836","City of Rogers City",1
"837","City of Roma",1
"838","City of Rome",1
"839","City of Roswell",2
"840","City of Sabinal",1
"841","City of Sac City",1
"842","City of Saco",1
"843","City of Safford",1
"844","City of Saint Peters",1
"845","City of Salem",1
"846","City of Salina",1
"847","City of Sallisaw",1
"848","City of San Augustine",1
"849","City of San Diego",1
"850","City of San Saba",1
"851","City of Sand Point",1
"852","City of Santa Cruz",2
"853","City of Santa Maria",1
"854","City of Santa Monica",1
"855","City of Santa Rosa",1
"856","City of Saratoga Springs",1
"857","City of Sardis",1
"858","City of Savanna",1
"859","City of Savannah",2
"860","City of Sayre",2
"861","City of Scottsboro",1
"862","City of Scottsville/Allen County",1
"863","City of Sealy",1
"864","City of Searcy",1
"865","City of Seattle",1
"866","City of Seminole",1
"867","City of Seneca",1
"868","City of Seymour",1
"869","City of Shaker Heights",1
"870","City of Shamrock",1
"871","City of Sharon Springs",1
"872","City of Shelby",1
"873","City of Shelbyville",1
"874","City of Sheridan",1
"875","City of Sherman",1
"876","City of Sherrill",1
"877","City of Sidney",2
"878","City of Signal Mountain",1
"879","City of Siloam Springs",1
"880","City of Silsbee",1
"881","City of Sioux Falls",1
"882","City of Snyder",1
"883","City of Socorro",1
"884","City of Somerset",1
"885","City of South Gate",1
"886","City of South Portland",1
"887","City of Spearman",1
"888","City of Spencer",1
"889","City of Spokane Regional Solid Waste System",2
"890","City of Springfield",1
"891","City of St. Cloud",1
"892","City of St. Joseph",1
"893","City of St. Marys",1
"894","City of St. Robert",1
"895","City of Stanley",2
"896","City of Statesboro",1
"897","City of Stephenville",1
"898","City of Stone",1
"899","City of Stuttgart",1
"900","City of Summit",1
"901","City of Sunbury Municipal Authority",1
"902","City of Sundance",1
"903","City of Superior",1
"904","City of Sweetwater",1
"905","City of Syracuse",1
"906","City of Tacoma",1
"907","City of Tahlequah",1
"908","City of Tekamah",1
"909","City of Terrell",1
"910","City of Thermopolis",1
"911","City of Thomasville",1
"912","City of Tifton",1
"913","City of Toledo",1
"914","City of Torrington",1
"915","City of Trenton",1
"916","City of Truth Or Consequences",2
"917","City of Tucson",1
"918","City of Tucumcari",1
"919","City of Tulia",1
"920","City of Turkey",1
"921","City of Unalaska",1
"922","City of University City",1
"923","City of University Park",1
"924","City of Uvalde",1
"925","City of Valdez",2
"926","City of Valdosta",1
"927","City of Valentine",1
"928","City of Valley City",1
"929","City of Vaughn",1
"930","City of Vermillion",2
"931","City of Vinita",1
"932","City of Virginia Beach",1
"933","City of Waco",1
"934","City of Wadsworth",1
"935","City of Waldron",1
"936","City of Walla Walla",1
"937","City of Wamsutter",1
"938","City of Warren",2
"939","City of Washington",2
"940","City of Waterbury",1
"941","City of Watertown",2
"942","City of Watsonville",2
"943","City of Waupun",1
"944","City of Waurika",1
"945","City of Wauwatosa",1
"946","City of Wayne",1
"947","City of Weimar",1
"948","City of Wellington",2
"949","City of Weslaco",1
"950","City of West Fargo",1
"951","City of West Plains",1
"952","City of West Point",1
"953","City of West Wendover",1
"954","City of Westfield",1
"955","City of Westlake",1
"956","City of Westland",1
"957","City of Wheatland",1
"958","City of Whitmore",1
"959","City of Whittier",1
"960","City of Wichita Falls",2
"961","City of Williams",1
"962","City of Williston",1
"963","City of Wilmington",1
"964","City of Winnfield",1
"965","City of Winston-Salem",1
"966","City of Wolf Point",1
"967","City of Woodruff",1
"968","City of Woodville",1
"969","City of Worcester",1
"970","City of Wrangell",1
"971","City of Wytheville",1
"972","City of Yankton",1
"973","City of Yoakum",1
"974","City of York",2
"975","Civic Recycling Inc",1
"976","Claiborne County",1
"977","Clarendon County",1
"978","Clark County",1
"979","Clark County Solid Waste District",1
"980","Clark Township",1
"981","Clark's Disposal",1
"982","Clarke County",1
"983","Clarke County Landfill Commission",1
"984","Clarke Inc",1
"985","Clay County",2
"986","Clayton County",1
"987","Clayton Ward Inc",1
"988","Clayton-Ward Company",1
"989","Clean Burning Fuels Inc",1
"990","Clean Management Environmental Group, Inc. (CMEG)",1
"991","Clear Creek County",1
"992","Clearwater County",1
"993","Clearwater Environmental",1
"994","Cleveland County",1
"995","Cliff / Gila Counties",1
