"","Owner Code","count"
"86","Antwerp Township",1
"87","Appanoose County",1
"88","Apple Valley Sanitation, Inc",1
"89","Appomattox County",2
"90","Aqua Clean Environmental of Virginia, LLC",1
"91","Aransas County",1
"92","Arcadia Recycling",1
"93","Archuleta County",2
"94","Ark Regional Services",1
"95","Armstrong County",1
"96","Aroostook County",1
"97","Asbestos Carting Corp.",1
"98","Ashe County",1
"99","Asheville Waste Paper Co Inc",1
"100","Ashley County",2
"101","Asotin County",1
"102","Asphalt Specialties",1
"103","Astoria Carting Co. Inc.",1
"104","Atchison Community Recycling Center",1
"105","Atchison County",2
"106","Athens-Clarke County Solid Waste Department",2
"107","Atkinson County",1
"108","Atlantic County Utilities Authority",3
"109","Atlantic Pier Co., Inc.",1
"110","Atlas Roll Off Container Corp.",1
"111","Atomic Recycling",1
"112","Aucilla Area Solid Waste",1
"113","Audubon County",1
"114","Auglaize County Solid Waste District",1
"115","Augusta County",1
"116","Augusta Solid Waste Management District",1
"117","Auston Contracting Inc",1
"118","Avery County",1
"119","B & E Recycling",1
"120","B & J Transfer",1
"121","B-P Trucking, Inc.",1
"122","BEST",6
"123","BLB Hauling",1
"124","BLHC",1
"125","BLT Enterprises",1
"126","BURR",4
"127","BVSWMA, Inc.",1
"128","Badger Disposal, Inc.",1
"129","Bahm Demolition, Inc.",1
"130","Baker Sanitary Service",1
"131","Balcones Recycling Inc",1
"132","Baldwin County",2
"133","Baltimore County",3
"134","Baltimore Recycling Center, LLC",1
"135","Bamberg County",1
"136","Bandera County",1
"137","Bannock County",1
"138","Barber County",1
"139","Barnwell County",1
"140","Bartholomew County Solid Waste Management District",2
"141","Barton County",1
"142","Bartow County",1
"143","Basin Disposal, Inc.",1
"144","Bass River Township",1
"145","Bastrop County",1
"146","Bath County",1
"147","Bavarian Trucking Company",1
"148","Bay County Utility Services Department",1
"149","Bayshore Recycling Corp.",1
"150","Bear Lake County",1
"151","Bear Valley Community Services District",1
"152","Beaver County Special Service District #5",1
"153","Beaverhead County",1
"154","Becker County",2
"155","Bedford County",2
"156","Bedrock Industries",1
"157","Bee Garbage Transfer System, Inc",1
"158","Bell County",1
"159","Beltrami County",2
"160","Benewah County",1
"161","Bennett Construction, Inc.",1
"162","Benton County Executive Landfill Board",1
"163","Berkeley County Water and Sanitation",1
"164","Berks Transfer, Inc.",1
"165","Berky's Transfer Site Container Service",1
"166","Bernalillo County",1
"167","Berryessa Garbage Service, Inc",1
"168","Bert Adams Disposal",1
"169","Bertolotti Disposal, Inc",1
"170","Best Lawns, Inc.",1
"171","Bestway Recycling Co., Inc.",1
"172","Bestway Recycling Inc",1
"173","Bethalto Waste Transfer Facility",1
"174","Bi-County Disposal Inc",1
"175","Bi-County Solid Waste System",2
"176","Bibb County",1
"177","Big Creek Township",1
"178","Big Horn County Solid Waste Disposal District",1
"179","Big Sky Environmental LLC",1
"180","Bingham County",1
"181","Birmingham Recycling & Recovery LLC, USA",1
"182","Black Hawk County Solid Waste Management",1
"183","Black Hawk Waste Disposal, Inc.",1
"184","Black Warrior Solid Waste Authority",1
"185","Bladen County",1
"186","Blaine County",1
"187","Blair County",1
"188","Blanco County",1
"189","Bland County",1
"190","Bleckley County",1
"191","Blount County",1
"192","Blue Earth County",1
"193","Bob Walker Hauling & Transfer",1
"194","Bob's Sanitation Inc",1
"195","Boise County",1
"196","Bonner County",1
"197","Bonneville County",2
"198","Boone County",1
"199","Boone County Resource Recovery Inc.",1
"200","Boothbay Regional Refuse Disposal District",1
"201","Borough of Bergenfield",1
"202","Borough of Bernardsville",1
"203","Borough of Creskill",1
"204","Borough of Dunellen",1
"205","Borough of Hanover",1
"206","Borough of Kodiak Island",1
"207","Borough of Naugatuck",1
"208","Borough of Ramsey",1
"209","Borough of Tenafly",1
"210","Borough of Westwood",1
"211","Botetourt County",1
"212","Botgge",1
"213","Boulder County",1
"214","Boulder County Land Use Department",1
"215","Boundary County",1
"216","Bourbon County",1
"217","Box Elder County",1
"218","Boyd E. Diller Inc.",1
"219","Boyd Roll-Off Services, Inc.",1
"220","Boyne Valley Township",1
"221","Bradley County",1
"222","Bradley's TS",1
"223","Brandywine Enterprises Inc",1
"224","Brandywine Recyclers",1
"225","Brantley County",1
"226","Brazostort Environment & Recycling Services, Inc. (BEARS)",1
"227","Breathitt County",1
"228","Bremer County",1
"229","Brevard County",2
"230","Bristol Bay Borough",1
"231","Broad Canyon Landfill",1
"232","Broad Run Recycling Inc.",1
"233","Broadwater County",1
"234","Bronx City Recycling, Inc.",1
"235","Bronx River Haulage",1
"236","Brooke County",1
"237","Broome County",1
"238","Broome Recycling Co Inc",1
"239","Broward County",3
"240","Brown County",3
"241","Brown Enterprises",1
"242","Brunswick County",1
"243","Bryan County",1
"244","Buchanan County",1
"245","Buckingham Recycles",1
"246","Buds Sanitation",1
"247","Bueckers Sanitation",2
"248","Buena Vista County",1
"249","Buffalo-Johnson Co. Joint Powers Board",1
"250","Buncombe County",2
"251","Burke County",2
"252","Burlington County",2
"253","Butler County",2
"254","Butte County",2
"255","C & B Sanitary Service",2
"256","C & O Recycling Enterprises, Inc.",1
"257","C & S Waste Solutions",1
"258","C&S Waste Solutions",1
"259","C. J. Mabardy Inc.",1
"260","C.M. Whitcher Disposal",1
"261","CALMT",1
"262","CARAU",1
"263","CGS Services, Inc.",1
"264","CLEA",1
"265","CLEAN",3
"266","CMC Recycling",1
"267","COV",5
"268","CR&R",1
"269","CRRA",5
"270","CWST",18
"271","Cabarrus County",1
"272","Caddo County",1
"273","Cal Farley's Boys Ranch",1
"274","Calamari Recycling Co., Inc.",1
"275","Calaveras County Department of Public Works",2
"276","Calhoun County",2
"277","California Department of Corrections",1
"278","California Waste Services LLC (CWS)",1
"279","Callanan Industries",1
"280","Calvert County",2
"281","Camden County",1
"282","Camden County Pollution Control Financing Authority",1
"283","Campbell County",1
"284","Canadian Pacific Railway",1
"285","Candler County",1
"286","Canyon County",1
"287","Canyonlands Community Recycling",1
"288","Cape May County Municipal Utilities Authority",3
"289","Cape Sand and Recycling LLC",1
"290","Capitol Recycling of Connecticut",1
"291","Carbon County",1
"292","Cardella Waste",1
"293","Cardinal Sanitation",1
"294","Caribou County",1
"295","Carlton County",1
"296","Carmen Barbato, Inc.",1
"297","Carroll County",4
"298","Carroll County Solid Waste Authority",1
"299","Carter County",1
"300","Cascade County",1
"301","Cascades Recovery Inc.",1
"302","Casey Truck Equipment",1
"303","Cass County",2
"304","Cass County Environmental Control Agency",2
"305","Cassia County",1
"306","Catawba County",1
"307","Catron County",1
"308","Cattaraugus County",1
"309","Cavalier Environmental Compliance Services (CECS)",1
"310","Cecil County",3
"311","Cedar Avenue Recycling & Transfer Station (CARTS)",1
"312","Cedar County Solid Waste Commission",1
"313","Cedar Creek Township",1
"314","Cedar Rapids Linn County Solid Waste Agency",1
"315","Central Disposal LLC",1
"316","Central Disposal, LLC",2
"317","Central Iowa Solid Waste Management Association",1
"318","Central Weston County SWDD",1
"319","Centre County Solid Waste Authority",1
"320","Chaffee County",1
"321","Chambers County",1
"322","Chambers Paper Fibers Corporation",1
"323","Charles Chrin Companies",1
"324","Charles County",1
"325","Charleston County",2
"326","Charlotte County",2
"327","Chatham County",1
"328","Chattooga County",1
"329","Chautauqua County",2
"330","Cheatham County",1
"331","Chelan County",1
"332","Chemung County Solid Waste Disposal District (CCSWDD)",3
"333","Chenango County",2
"334","Cherokee County",3
"335","Cherokee County Solid Waste Commission",2
"336","Cherokee Nation of Oklahoma",1
"337","Chester County",1
"338","Chester County Solid Waste Authority",1
"339","Chesterfield County",2
"340","Chestnuthill Township",1
"341","Cheyenne County",1
"342","Chicago Grade Landfill, Inc.",2
"343","Chicot County",1
"344","Chippewa County",2
"345","Chittenden Solid Waste District",2
"346","Choctaw County",1
"347","Cibola County",1
"348","Citistics, Inc.",1
"349","Citrus County",1
"350","City & Borough of Sitka",2
"351","City & County of Denver",2
"352","City & County of Honolulu",2
"353","City Fibers Corporation",1
"354","City Garbage Services",1
"355","City Recycling",1
"356","City of Abbotsford",1
"357","City of Ada",1
"358","City of Alamogordo",1
"359","City of Albany",1
"360","City of Albemarle",1
"361","City of Albuquerque",3
"362","City of Alcoa",1
"363","City of Alice",1
"364","City of Alliance",2
"365","City of Alpine",1
"366","City of Altus",1
"367","City of Alva",1
"368","City of Amarillo",2
"369","City of Andrews",1
"370","City of Ann Arbor",1
"371","City of Arcadia",1
"372","City of Arkadelphia",1
"373","City of Artesia",1
"374","City of Asheboro",1
"375","City of Astoria",1
"376","City of Atoka",1
"377","City of Auburn",1
"378","City of Augusta",1
"379","City of Austin",1
"380","City of Baggs",1
"381","City of Bainbridge Island",1
"382","City of Baltimore",2
"383","City of Barre",1
"384","City of Bath",1
"385","City of Baton Rouge / Parish of East Baton Rouge",1
"386","City of Baytown",1
"387","City of Beach",2
"388","City of Beacon",1
"389","City of Beatrice",2
"390","City of Beaumont",1
"391","City of Bedford",1
"392","City of Belen",1
"393","City of Belfast",1
"394","City of Belle Fourche",1
"395","City of Berea",1
"396","City of Berkeley",1
"397","City of Bethel",1
"398","City of Beulah",1
"399","City of Big Lake",1
"400","City of Big Spring",1
"401","City of Billings",1
"402","City of Binghamton",1
"403","City of Birmingham",1
"404","City of Bismarck",1
"405","City of Bloomington",1
"406","City of Bonduel",1
"407","City of Booker",1
"408","City of Borger",1
"409","City of Boscobel",1
"410","City of Bossier City",1
"411","City of Boulder City",1
"412","City of Bountiful",1
"413","City of Brackettville",1
"414","City of Brady",1
"415","City of Brenham",1
"416","City of Brentwood",1
"417","City of Bridgeport",1
"418","City of Bristol",3
"419","City of Broadalbin",1
"420","City of Broken Bow",1
"421","City of Brookhaven",1
"422","City of Brookings",1
"423","City of Brownfield",1
"424","City of Brownsville",1
"425","City of Brownwood",1
"426","City of Buckhannon",1
"427","City of Buffalo",1
"428","City of Burbank",2
"429","City of Burkburnett",1
"430","City of Burleson",1
"431","City of Burlington",1
"432","City of Cactus",1
"433","City of Cairo",1
"434","City of Calais",1
"435","City of California City",1
"436","City of Camden",1
"437","City of Canadian",1
"438","City of Canton",2
"439","City of Cape Girardeau",1
"440","City of Carrizo Springs",1
"441","City of Carrollton",1
"442","City of Carson City",1
"443","City of Carthage",1
"444","City of Casa Grande",1
"445","City of Casper",1
"446","City of Cavalier",1
"447","City of Cedar Falls",1
"448","City of Chadron",1
"449","City of Chanute",1
"450","City of Charleston",1
"451","City of Chattanooga",1
"452","City of Checotah",1
"453","City of Chelan",1
"454","City of Chelsea",1
"455","City of Chesapeake",1
"456","City of Chicago",1
"457","City of Childress",1
"458","City of Claremont",1
"459","City of Clearwater",1
"460","City of Cleburne",2
"461","City of Cleveland",1
"462","City of Cleveland Heights",1
"463","City of Clinton",1
"464","City of Clovis",1
"465","City of Coldwater",1
"466","City of Collierville",1
"467","City of Colorado City",1
"468","City of Columbia",1
"469","City of Columbus",2
"470","City of Concord",1
"471","City of Condon",1
"472","City of Conway",1
"473","City of Copperas Cove",1
"474","City of Coral Springs",1
"475","City of Corbin",1
"476","City of Cordova",1
"477","City of Corpus Christi",2
"478","City of Corsicana",1
"479","City of Cottonwood",1
"480","City of Cotulla",1
"481","City of Council Bluffs",1
"482","City of Covington",1
"483","City of Crane",1
"484","City of Crete",1
"485","City of Crockett",1
"486","City of Crowell/Foard County",1
"487","City of Crystal City",1
"488","City of Cudahy",1
"489","City of Culver City",1
"490","City of Dalhart",1
"491","City of Dallas",3
"492","City of Danvers",1
"493","City of Dayton",1
"494","City of De Kalb",1
"495","City of Dearborn",1
"496","City of Decatur",1
"497","City of Deer Park",1
"498","City of Deerfield Beach",1
"499","City of Del Rio",1
"500","City of Deming",2
"501","City of Denton",1
"502","City of Detroit",1
"503","City of Devil's Lake",1
"504","City of Dewitt",1
"505","City of Dickinson",2
"506","City of Dillingham",1
"507","City of Dimmitt",1
"508","City of Douglas",1
"509","City of Dumas",1
"510","City of Durant",1
"511","City of Durham",1
"512","City of Dyersberg",1
"513","City of Eagle Pass",2
"514","City of East Jordan",1
"515","City of Eden",1
"516","City of Edgewater",1
"517","City of Edinburg",1
"518","City of El Campo",1
"519","City of El Cerrito",1
"520","City of El Dorado",1
"521","City of El Paso",1
"522","City of Elgin",1
"523","City of Elk City",1
"524","City of Elk Point",1
"525","City of Elko",1
"526","City of Ellendale",1
"527","City of Eloy",1
"528","City of Ely",1
"529","City of Emporia",1
"530","City of Englewood",1
"531","City of Enid",1
"532","City of Enterprise",1
"533","City of Eufaula",2
"534","City of Fairbury",1
"535","City of Fairhope",1
"536","City of Fall River",1
"537","City of Fallon",2
"538","City of Fargo",1
"539","City of Farmers Branch",1
"540","City of Farmington",1
"541","City of Fayetteville",1
"542","City of Fergus Falls",1
"543","City of Fillmore",1
"544","City of Fitzgerald",1
"545","City of Flagstaff",2
"546","City of Florence",1
"547","City of Floydada",1
"548","City of Folsom",1
"549","City of Fort Smith",1
"550","City of Fort Stockton",1
"551","City of Fort Wayne",1
"552","City of Fort Worth",1
"553","City of Fox Lake",1
"554","City of Franklin",2
"555","City of Fredericksburg",2
"556","City of Fredericktown",1
"557","City of Freeport",1
"558","City of Fremont",1
"559","City of Gadsden",1
"560","City of Gainesville",1
"561","City of Gardner",1
"562","City of Garland",3
"563","City of Gatlinburg",1
"564","City of Geneva",1
"565","City of Gering",1
"566","City of Glasgow",1
"567","City of Glendale",2
"568","City of Glendive",1
"569","City of Glenrock",1
"570","City of Glenwood Springs",1
"571","City of Gloversville",1
"572","City of Goldsboro",1
"573","City of Goodlettsville",1
"574","City of Grand Coulee",2
"575","City of Grand Forks",1
"576","City of Grand Island",2
"577","City of Grand Prairie",1
"578","City of Great Falls",1
"579","City of Green River",2
"580","City of Greensboro",2
"581","City of Greenville",1
"582","City of Greer",1
"583","City of Griffin",1
"584","City of Guthrie",1
"585","City of Guymon",1
"586","City of Haines",1
"587","City of Hallettsville",1
"588","City of Hamden",1
"589","City of Hamilton",1
"590","City of Hardin",1
"591","City of Harlingen",2
"592","City of Hartington",1
"593","City of Hartselle",1
"594","City of Harvey",1
"595","City of Haskell",1
"596","City of Hastings",1
"597","City of Hawthorne",1
"598","City of Hazard",1
"599","City of Helena",1
"600","City of Henderson",1
"601","City of Henryetta",1
"602","City of Hereford",1
"603","City of Hickory",1
"604","City of High Point",2
"605","City of Hillsdale",1
"606","City of Hohenwald",1
"607","City of Holdrege",1
"608","City of Hope",1
"609","City of Hot Springs",1
"610","City of Houston",2
"611","City of Huntington",2
"612","City of Huntsville",1
"613","City of Huron",1
"614","City of Iowa City",1
"615","City of Irving",1
"616","City of Jackson",1
"617","City of Jacksonville",1
"618","City of Jamestown",1
"619","City of Janesville",1
"620","City of Jasper",1
"621","City of Johnson City",1
"622","City of Johnstown",1
"623","City of Junction",1
"624","City of Justin",1
"625","City of Kadoka",1
"626","City of Kearney",1
"627","City of Keene",1
"628","City of Kendallville",1
"629","City of Kenosha",1
"630","City of Kerrville",2
"631","City of Ketchikan",1
"632","City of Kewanee",1
"633","City of Key West",1
"634","City of Kill Devil Hills",1
"635","City of Killeen",1
"636","City of Kimball",2
"637","City of Kingston",1
"638","City of Kingsville",2
"639","City of Kingwood",1
"640","City of Knoxville",1
"641","City of La Cygne",1
"642","City of La Grange",1
"643","City of LaBarge",1
"644","City of Laconia",1
"645","City of Lake Forest",1
"646","City of Lake Havasu",1
"647","City of Lamar",2
"648","City of Lamesa",1
"649","City of Lancaster",1
"650","City of Langdon",1
"651","City of Lansing Board of Water & Light",1
"652","City of Laramie",1
"653","City of Laredo",1
"654","City of Latrobe",1
"655","City of Lawrenceburg",1
"656","City of Lawton",1
"657","City of Lebanon",2
"658","City of Lee's Summit",1
"659","City of Leitchfield",1
"660","City of Lemmon",1
"661","City of Lenexa",1
"662","City of Lewiston",1
"663","City of Lincoln",2
"664","City of Little Rock",1
"665","City of Littlefield",1
"666","City of Livonia",2
"667","City of Llano",2
"668","City of Logan",2
"669","City of Lompoc",1
"670","City of Long Creek",1
"671","City of Los Angeles",1
"672","City of Los Angeles - Bureau of Sanitation",2
"673","City of Louisville",1
"674","City of Louisville Metro Government",1
"675","City of Lovington",1
"676","City of Lubbock",1
"677","City of Mackinac Island",1
"678","City of Madison",1
"679","City of Madisonville",1
"680","City of Manchester",1
"681","City of Mandan",1
"682","City of Mansfield",1
"683","City of Marietta",1
"684","City of Markesan",1
"685","City of Marlborough",1
"686","City of Marmet",1
"687","City of Marshall",1
"688","City of Martinsville",1
"689","City of Maryville",1
"690","City of Matador",1
"691","City of Maumelle",1
"692","City of Mayville",1
"693","City of McAlester",1
"694","City of McAllen",1
"695","City of McCook",1
"696","City of McGrath",1
"697","City of McLean",1
"698","City of McMinnville",1
"699","City of Meadow",1
"700","City of Mekoryuk",1
"701","City of Memphis",3
"702","City of Menard",1
"703","City of Meriden",1
"704","City of Mesquite",2
"705","City of Miami",1
"706","City of Middletown",1
"707","City of Midland",1
"708","City of Midwest City",1
"709","City of Milnor",1
"710","City of Milton-Freewater",1
"711","City of Milwaukee",2
"712","City of Mineral Wells",1
"713","City of Minneapolis",1
"714","City of Minot",1
"715","City of Mitchell",1
"716","City of Moberly",1
"717","City of Mobile",1
"718","City of Mohall",1
"719","City of Monahans",1
"720","City of Monmouth",1
"721","City of Montgomery",1
"722","City of Monticello",1
"723","City of Monument",1
"724","City of Moorhead",1
"725","City of Morrilton",1
"726","City of Morristown / Hamblen County",1
"727","City of Morton",1
"728","City of Muleshoe",1
"729","City of Murray",2
"730","City of Muscatine",3
"731","City of Myrtle Beach",1
"732","City of Nacogdoches",1
"733","City of Napaskiak",1
"734","City of Nashua",1
"735","City of Neligh",1
"736","City of New Bedford",1
"737","City of New Britain",1
"738","City of New London",1
"739","City of New Salem",1
"740","City of Newberg",1
"741","City of Newcastle",1
"742","City of Newhalen",1
"743","City of Newport",1
"744","City of Newport Beach",1
"745","City of Newton",1
"746","City of Niagara Falls",1
"747","City of Norman",1
"748","City of North Adams",1
"749","City of North Augusta",1
"750","City of North Myrtle Beach",1
"751","City of North Platte",1
"752","City of North Powder",1
"753","City of North Tonawanda",1
"754","City of Northampton",1
"755","City of Norwich",1
"756","City of Nuiqsut",1
"757","City of O'Fallon",1
"758","City of Oakley",1
"759","City of Oconto",1
"760","City of Olathe",1
"761","City of Old Town",1
"762","City of Olton",1
"763","City of Onida",1
"764","City of Ormond Beach",1
"765","City of Osceola",1
"766","City of Oswego",1
"767","City of Oxford",1
"768","City of Oxnard",1
"769","City of Ozark",1
"770","City of Palo Alto",1
"771","City of Pampa",1
"772","City of Panhandle",1
"773","City of Paris",2
"774","City of Paso Robles",1
"775","City of Pauls Valley",1
"776","City of Pawtucket",1
"777","City of Payson",1
"778","City of Pearl",1
"779","City of Pecos",1
"780","City of Pensacola",1
"781","City of Peoria",1
"782","City of Perryton",1
"783","City of Perth Amboy",1
"784","City of Petersburg",1
"785","City of Pharr",1
"786","City of Phenix",1
"787","City of Philadelphia",1
"788","City of Philippi",1
"789","City of Phoenix",2
"790","City of Pierre",1
"791","City of Pikeville",1
"792","City of Pittsburg",1
"793","City of Plainview",2
"794","City of Point Hope",1
"795","City of Pontotoc",1
"796","City of Port Angeles",1
"797","City of Port Arthur",1
"798","City of Portage",1
"799","City of Portland",2
"800","City of Portsmouth",1
"801","City of Post",1
"802","City of Pottsville",1
"803","City of Poughkeepsie",1
"804","City of Powers",1
"805","City of Prescott",1
"806","City of Presidio",1
"807","City of Presque Isle",2
"808","City of Princeton",1
"809","City of Pulaski",1
"810","City of Rapid City",2
"811","City of Raton",1
"812","City of Rawlins",2
"813","City of Redding",1
"814","City of Redlands",1
"815","City of Reidsville",1
"816","City of Rialto",1
"817","City of Richland",2
"818","City of Richmond",2
"819","City of Richmond Sanitary District",1
"820","City of Riverview",1
"821","City of Robert Lee",1
"822","City of Rochelle",1
"823","City of Rock River",1
"824","City of Rockland",1
"825","City of Rocky Mount",1
"826","City of Rocky River",1
"827","City of Rogers",1
"828","City of Rogers City",1
"829","City of Roma",1
"830","City of Rome",1
"831","City of Roswell",3
"832","City of Sabinal",1
"833","City of Sac City",1
"834","City of Safford",1
"835","City of Saint Peters",1
"836","City of Salem",1
"837","City of Salina",1
"838","City of Sallisaw",1
"839","City of San Angelo",1
"840","City of Sand Point",1
"841","City of Santa Cruz",2
"842","City of Santa Maria",1
"843","City of Santa Monica",1
"844","City of Santa Rosa",1
"845","City of Saratoga Springs",1
"846","City of Sardis",1
"847","City of Savanna",1
"848","City of Savannah",2
"849","City of Sayre",2
"850","City of Schenectady",1
"851","City of Scottsboro",1
"852","City of Scottsville/Allen County",1
"853","City of Sealy",1
"854","City of Searcy",1
"855","City of Seattle",1
"856","City of Seminole",1
"857","City of Seneca",1
"858","City of Sevierville",1
"859","City of Seymour",1
"860","City of Shaker Heights",1
"861","City of Shamrock",1
"862","City of Shaniko",1
"863","City of Sharon Springs",1
"864","City of Shelby",1
"865","City of Shelbyville",1
"866","City of Sheridan",1
"867","City of Sherrill",1
"868","City of Shreveport",1
"869","City of Sidney",2
"870","City of Signal Mountain",1
"871","City of Siloam Springs",1
"872","City of Silsbee",1
"873","City of Sioux City",1
"874","City of Sioux Falls",1
"875","City of Snyder",1
"876","City of Socorro",1
"877","City of Somerset",1
"878","City of South Burlington",1
"879","City of South Gate",1
"880","City of Sparta",1
"881","City of Spartanburg",1
"882","City of Spencer",1
"883","City of Spiro",1
"884","City of Spokane Regional Solid Waste System",2
"885","City of Springfield",1
"886","City of St. Cloud",1
"887","City of St. Johns",1
"888","City of St. Joseph",1
"889","City of St. Louis",1
"890","City of St. Marys",1
"891","City of St. Robert",1
"892","City of Stanley",2
"893","City of Stanton",1
"894","City of Statesboro",1
"895","City of Stephenville",1
"896","City of Stockton",1
"897","City of Stratford",1
"898","City of Strongsville",1
"899","City of Stuttgart",1
"900","City of Summit",1
"901","City of Sunbury Municipal Authority",1
"902","City of Sundance",1
"903","City of Sunnyvale",1
"904","City of Superior",1
"905","City of Sweetwater",1
"906","City of Syracuse",1
"907","City of Tacoma",1
"908","City of Tahlequah",1
"909","City of Tahoka",1
"910","City of Tampa",1
"911","City of Taunton",1
"912","City of Tekamah",1
"913","City of Temple",1
"914","City of Terrell",1
"915","City of Thermopolis",1
"916","City of Thomasville",1
"917","City of Tifton",1
"918","City of Toledo",1
"919","City of Torrington",1
"920","City of Trenton",1
"921","City of Trinidad",1
"922","City of Troutdale",1
"923","City of Truth Or Consequences",2
"924","City of Tucson",1
"925","City of Tucumcari",1
"926","City of Tulelake",1
"927","City of Tulia",1
"928","City of Turkey",1
"929","City of Tyler",1
"930","City of Unalaska",1
"931","City of Unity",1
"932","City of University Park",1
"933","City of Uvalde",1
"934","City of Valdez",2
"935","City of Valdosta",1
"936","City of Valentine",1
"937","City of Valley City",1
"938","City of Vaughn",1
"939","City of Vermillion",2
"940","City of Vernon",1
"941","City of Vernonia",1
"942","City of Victoria",1
"943","City of Vinita",1
"944","City of Virginia Beach",1
"945","City of Waco",1
"946","City of Wadsworth",1
"947","City of Waldron",1
"948","City of Wall",1
"949","City of Walla Walla",1
"950","City of Wamsutter",1
"951","City of Warren",1
"952","City of Washington",1
"953","City of Waterbury",1
"954","City of Watertown",1
"955","City of Watsonville",2
"956","City of Waupun",1
"957","City of Waurika",1
"958","City of Wauwatosa",1
"959","City of Wayne",1
"960","City of Weimar",1
"961","City of Wellington",2
"962","City of Weslaco",1
"963","City of West Helena",1
"964","City of West Plains",1
"965","City of West Point",1
"966","City of West Wendover",1
"967","City of Westfield",1
"968","City of Westlake",1
"969","City of Wheatland",1
"970","City of Whittier",1
"971","City of Wichita Falls",2
"972","City of Williams",1
"973","City of Williston",1
"974","City of Wilmington",1
"975","City of Winnfield",1
"976","City of Winston-Salem",1
"977","City of Wolf Point",1
"978","City of Woodruff",1
"979","City of Woodville",1
"980","City of Worcester",1
"981","City of Wrangell",1
"982","City of Yankton",1
"983","City of Yoakum",1
"984","City of Yonkers",1
"985","City of York",2
"986","City of Yukon",1
"987","Claiborne County",1
"988","Clarendon County",1
"989","Clark County",1
"990","Clark Township",1
"991","Clarke County",1
"992","Clarke County Landfill Commission",1
"993","Clarke Inc",1
"994","Clay County",3
"995","Clayton County",2
"996","Clayton-Ward Company",1
"997","Clean Burning Fuels Inc",1
"998","Clear Creek County",1
"999","Clear Creek Disposal",1
"1000","Clearfield MMG",1
"1001","Clearwater County",1
"1002","Clearwater Environmental",1
"1003","Cleveland County",1
"1004","Clifford Hill Sanitation Services",1
"1005","Clifton Brooks",1
"1006","Clinton County Area Solid Waste Agency",2
"1007","Clinton County Solid Waste Authority",2
"1008","Clinton Lewis Construction Company",1
"1009","Cloud County",1
"1010","Coahoma County",1
"1011","Coastal Recycling Services",1
"1012","Coastal Regional Solid Waste Management Authority",2
"1013","Cobb County",1
"1014","Cochise County",2
"1015","Coconino County",1
"1016","Coffee County",1
"1017","Coffee County-17 Mile River SLF",1
"1018","Coffey County",1
"1019","Cold Creek Compost, Inc",1
"1020","Cold Springs Processing Inc.",1
"1021","Colleton County",2
"1022","Collier County Solid Waste Management",3
